,Review,Positive Score,Negative Score,Neutral Score,Compound Score,nps_indiv,nps_category,clean_review,Topic_Number,Topic_Name
0,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,0.367,0.024,0.609,0.9622,10,Promoter,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",4,User Interface
1,"A bank like no other, no bank have such amazing feature to separate your money into different “pockets” to keep track of your goals. Moreover the interest rate they give is the highest for the no effort! Interest are being deposit daily and it’s amazing to see 💵 coming in to the bank daily! 

The user interfaces is so intuitive that every button can be found with your eyes close, that makes money transfer so much smoother. Also the colours is so slick that I want to turn the app on everyday just to look at it and see the daily interest

Lots of potential for the product and I can’t wait to see more of it.",0.147,0.051,0.801,0.9184,10,Promoter,"['bank', 'bank', 'feature', 'money', 'pocket', 'track', 'goal', 'moreover', 'interest', 'rate', 'effort', 'interest', 'deposit', 'bank', 'user', 'interface', 'button', 'found', 'eye', 'money', 'transfer', 'smoother', 'colour', 'slick', 'want', 'turn', 'everyday', 'look', 'interest', 'lot', 'product', 'wait']",4,User Interface
2,"Notice that the drop in interest rate of 0.8% in saving accounts. GXS just come out with a reason to say many consumers want a increase in interest rate in main accounts as most of their funds are there to get the 1.2x points for dash and grab spending. Hence they decrease the interest rate to 2.68% in saving account and increase to 2.38% in main account .

The thing is GXS can increase the main account interest and maintain the interest rate in saving account. They will attract more consumer in this case. However, they use this opportunity to decease the interest rate in saving account instead and use the consumer as an excuse for the decrease.

I am very disappointed in GXS and have close my account in GXS. There are other banks offering a higher interest rate such as OCBC and UOB for saving accounts. No point sticking to GXS.",0.201,0.043,0.756,0.9765,10,Promoter,"['notice', 'drop', 'interest', 'rate', 'account', 'reason', 'consumer', 'want', 'increase', 'interest', 'rate', 'account', 'fund', 'point', 'dash', 'grab', 'spending', 'hence', 'decrease', 'interest', 'rate', 'account', 'increase', 'account', 'thing', 'increase', 'account', 'interest', 'maintain', 'interest', 'rate', 'account', 'attract', 'consumer', 'case', 'opportunity', 'decease', 'interest', 'rate', 'account', 'consumer', 'excuse', 'decrease', 'account', 'bank', 'offering', 'interest', 'rate', 'ocbc', 'account', 'point']",1,Money Growth (Interest Rates)
3,"Sending money into my GXS account is a breeze and instantaneous - regardless of the amounts. I’m able to immediately see that my funds are in GXS. 

Transferring money OUT is a huge issue. Since June I’ve had problems transferring amounts higher than $500 back to my other banking accounts, each time a red banner will pop up and said something went wrong please try again later. TODAY I can’t transfer more than $1000 back to myself - even the $1000 had to be transferred in TWO transactions of $500 each. Customer service officers did their best to help each time but it’s annoying that the advice provided (killing the app, re-logging in with SingPass) still don’t work.",0.059,0.103,0.838,-0.8316,0,Detractor,"['money', 'account', 'breeze', 'amount', 'fund', 'money', 'issue', 'june', 'problem', 'amount', 'banking', 'account', 'time', 'banner', 'something', 'please', 'today', 'transfer', 'transaction', 'customer', 'service', 'officer', 'help', 'time', 'advice', 'singpass', 'work']",6,Login & Account Setup
4,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!",0.141,0.032,0.826,0.8313,10,Promoter,"['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",4,User Interface
5,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)",0.206,0.016,0.778,0.9568,10,Promoter,"['slot', 'account', 'month', 'nothing', 'whenever', 'anyone', 'excuse', 'change', 'improvement', 'help', 'compare', 'bank', 'trust', 'bank', 'singapore', 'launch', 'trust', 'bank', 'singapore', 'trust', 'bank', 'register']",0,App Responsiveness
6,"Great app, with awesome design and theme unlike traditional banking institutions. Provide high interest rates and suitable for targeted group of audience. Ratings were probably dragged down by reviewers who rated 1/5 because they couldn’t sign up - as GXS bank is rolling out to users by batches.

Overall a good experience! :)",0.265,0.018,0.717,0.9531,10,Promoter,"['awesome', 'design', 'theme', 'banking', 'institution', 'provide', 'interest', 'rate', 'group', 'audience', 'rating', 'reviewer', 'sign', 'bank', 'user', 'batch', 'experience']",0,App Responsiveness
7,"Hit with fast reversal when transferring money to this gxs bank, first time in my life a fast transfer didn’t succeed. Googled for recent reviews and social media on this gxs bank. Mostly bad reviews and issues. I don’t need developer reply to my review here as I’m absolutely not going to touch this bank anymore. And biggest joke of all, you don’t even have the most basic banking feature to save payee details. What kind of app development staff and quality is that???",0.099,0.038,0.864,0.6848,9,Promoter,"['fast', 'reversal', 'money', 'bank', 'time', 'life', 'fast', 'transfer', 'review', 'medium', 'bank', 'review', 'issue', 'need', 'developer', 'reply', 'review', 'touch', 'bank', 'joke', 'banking', 'feature', 'payee', 'detail', 'kind', 'development', 'staff', 'quality']",0,App Responsiveness
8,"Very easy to use, user friendly and intuitive. Nice design of the app making it easier to navigate the app. Saving pocket is an interesting and useful feature. can’t wait to explore and use more of the app",0.355,0.0,0.645,0.9485,10,Promoter,"['user', 'design', 'navigate', 'pocket', 'feature', 'wait', 'explore']",9,Customer trust
9,"What a joke! Nothing happens after you input your phone number - nothing! 

It’ll be so much, and I don’t exaggerate when I say this, so much faster for you to travel from one end of Singapore to the other, to open an account at a traditional bank branch. 

One piece of advice to the management of GXS Bank - do not launch if you are not ready! You are a joke. Please look at Trust Bank. Simple and easy to use. Account opened in like, 2 mins?",0.175,0.037,0.788,0.9164,10,Promoter,"['joke', 'nothing', 'input', 'phone', 'number', 'nothing', 'exaggerate', 'faster', 'travel', 'singapore', 'account', 'bank', 'branch', 'piece', 'advice', 'management', 'bank', 'launch', 'joke', 'please', 'look', 'trust', 'bank', 'simple', 'account', 'min']",0,App Responsiveness
10,Honestly is my first time depositing digital banking A lot worry . But at the end is a great experience. I believe a lot of us wanted is the return . And they offer very high interest. Will continue to deposit Thank you,0.277,0.035,0.688,0.9368,10,Promoter,"['time', 'digital', 'banking', 'worry', 'experience', 'return', 'offer', 'interest', 'continue', 'deposit', 'thank']",4,User Interface
11,"My biggest frustration is that I can’t save payees when sending money.  Everytime I need to transfer funds, I have to select a transfer type and fully type out the account number, payee’s name, and select the bank.

This is incredibly tedious esp for accounts I pay frequently. Without this “fundamental” feature a payee list, it’s easy to make mistakes entering long account number, name and bank name each time.",0.111,0.089,0.801,0.1779,6,Detractor,"['frustration', 'payee', 'money', 'everytime', 'need', 'transfer', 'fund', 'select', 'transfer', 'type', 'type', 'account', 'number', 'payee', 'name', 'select', 'bank', 'account', 'feature', 'payee', 'list', 'mistake', 'account', 'number', 'name', 'bank', 'name', 'time']",2,Customer Services
12,"Best bank to save up and best bank in receiving cash back! And also, so happy to be able to win a lucky draw from here! Hopefully things get much better in this year!",0.531,0.0,0.469,0.984,10,Promoter,"['bank', 'bank', 'cash', 'draw', 'thing', 'year']",1,Money Growth (Interest Rates)
13,"App is very responsive, and interface is simple but comprehensive. Transaction speeds are very quick too.",0.239,0.0,0.761,0.5262,8,Passive,"['responsive', 'interface', 'simple', 'comprehensive', 'transaction', 'speed', 'quick']",9,Customer trust
14,Despite a lengthy onboarding but my account got approved promptly. I like that the app is snappy and easy to use. Waiting for credit card so that I can switch to GXS as my main account.,0.307,0.0,0.693,0.9349,10,Promoter,"['lengthy', 'account', 'credit', 'card', 'switch', 'account']",1,Money Growth (Interest Rates)
15,"GXS offers seamless, fast and super effective digital services. 
Never ever I had such experience with other banks. GXS definitely is the bank of future! 
You must try it to believe!",0.269,0.0,0.731,0.8829,10,Promoter,"['offer', 'seamless', 'fast', 'super', 'digital', 'service', 'experience', 'bank', 'bank', 'future']",8,Safety
16,"I recently used this digital bank, which has many security features and user friendly UI.
I 100% recommend to used this App.",0.299,0.0,0.701,0.7964,9,Promoter,"['digital', 'bank', 'security', 'feature', 'user', 'recommend']",0,App Responsiveness
17,"The app’s interface is really user friendly and sleek! It loads very fast as well, can’t wait to start using this digital bank app :)",0.293,0.0,0.707,0.8456,10,Promoter,"['interface', 'user', 'sleek', 'load', 'fast', 'wait', 'start', 'digital', 'bank']",9,Customer trust
18,Already 1 year but basic functions like adding payee is not in the app. It’s so troublesome to transfer funds to different bank accounts! With your latest move to reduce interest to 2.68% has made me feels like maribank is better even with slightly lower interest rate because they knows what basic functions to include in the app,0.235,0.106,0.659,0.8751,10,Promoter,"['year', 'function', 'payee', 'troublesome', 'transfer', 'fund', 'bank', 'account', 'move', 'interest', 'feel', 'maribank', 'interest', 'rate', 'function', 'include']",1,Money Growth (Interest Rates)
19,"Extremely disappointed with the GXS app. Despite consistent use on the same device for a long time, it suddenly stopped allowing money transfers with explanation device changed. This lack of clarity and abrupt disruption in service is unacceptable. Terrible user experience, deserves only 1 star.",0.047,0.289,0.664,-0.9156,0,Detractor,"['consistent', 'device', 'time', 'money', 'transfer', 'explanation', 'device', 'lack', 'clarity', 'abrupt', 'disruption', 'service', 'user', 'experience', 'star']",4,User Interface
20,"Wish more people can download and use, and more rewards can be given.",0.356,0.0,0.644,0.7264,9,Promoter,"['wish', 'download', 'reward']",1,Money Growth (Interest Rates)
21,Can try for saving money !! My money said they liked there,0.235,0.0,0.765,0.5242,8,Passive,"['money', 'money']",5,Credit card usage
22,Everything is perfect. Ease of use. Fast transfer for quick cash. Repayment is easy and low interest. This app is a life saver literally :),0.417,0.058,0.525,0.9186,10,Promoter,"['everything', 'perfect', 'ease', 'fast', 'transfer', 'quick', 'cash', 'repayment', 'interest', 'life', 'saver']",1,Money Growth (Interest Rates)
23,Easy drawing and repayment option. Flexible of choice at any time with any needs. Like it and good tool for emergency money with flexible borrowing and repayment.,0.339,0.073,0.588,0.8176,9,Promoter,"['repayment', 'option', 'choice', 'time', 'need', 'tool', 'emergency', 'money', 'borrowing', 'repayment']",0,App Responsiveness
24,"Ease of use.
Pay anytime before due is possible. 
Emergency moolahs are here without breaking your bank!",0.12,0.206,0.673,-0.2003,4,Detractor,"['ease', 'anytime', 'emergency', 'moolah', 'bank']",8,Safety
25,J got recommended to try out this app by a fren and i love it! It’s convenient and easy to use and i can see myself committing to this in the long term! :),0.322,0.0,0.678,0.915,10,Promoter,"['love', 'convenient', 'term']",9,Customer trust
26,the app is easy to navigate and the UI/UX is excellent. I love the saving pockets and the good interest rates! definitely worth the wait and has a lot of potential 👍🏼,0.427,0.0,0.573,0.9665,10,Promoter,"['navigate', 'excellent', 'love', 'pocket', 'interest', 'rate', 'worth', 'wait']",6,Login & Account Setup
27,My fav feature is the saving pockets can't wait to build my savings with the good interest rates. amazing user interface!,0.433,0.0,0.567,0.9184,10,Promoter,"['feature', 'pocket', 'wait', 'build', 'interest', 'rate', 'user', 'interface']","1,9",Money Growth (Interest Rates) & Customer trust
28,Downloaded the app but doesnt seem to be able to sign up and got asked to stay tune after giving my phone number. I cant see the screens as presented in the app store. What is going on?,0.112,0.0,0.888,0.5499,8,Passive,"['doesnt', 'seem', 'sign', 'stay', 'tune', 'phone', 'number', 'cant', 'screen', 'store']",5,Credit card usage
29,Very easy to navigate and super fluid UI. Lovely bank and recommended everyone to join with ease of mind.,0.572,0.0,0.428,0.9468,10,Promoter,"['navigate', 'super', 'fluid', 'bank', 'everyone', 'join', 'ease', 'mind']",8,Safety
30,No more long waits and tons of paperwork to open a bank account. Looking forward to how GXS can generate a stronger value proposition for consumers.,0.166,0.073,0.762,0.4215,7,Passive,"['wait', 'ton', 'paperwork', 'bank', 'account', 'generate', 'value', 'proposition', 'consumer']",5,Credit card usage
31,Like to use GXS apps that is link to Grabs apps for easy to transfer money from saving to topup Grabs account.,0.213,0.0,0.787,0.6597,9,Promoter,"['apps', 'link', 'grab', 'apps', 'transfer', 'money', 'topup', 'grab', 'account']",2,Customer Services
32,Best digital bank in my opinion I prefer this over its competitors:),0.276,0.0,0.724,0.6369,9,Promoter,"['digital', 'bank', 'opinion', 'prefer', 'competitor']",7,Competition
33,"Well if u like to see growth everyday, this app gives u that. Set goals and see it grow towards it!",0.294,0.0,0.706,0.7574,9,Promoter,"['growth', 'everyday', 'goal', 'grow']",4,User Interface
34,Very convenient and easy to understand and use,0.311,0.0,0.689,0.4877,8,Passive,"['convenient', 'understand']",9,Customer trust
35,"Why put an app on the store when you are not ready. All about the app now is collecting info. If you have heard yet, please use testflight for ur ‘launch’ aka beta testing 🤦🏻

Update: doesn’t bode well… even response is so robotic n mundane. Might as well not respond and spend the time to build the app for a proper launch",0.062,0.03,0.908,0.316,7,Passive,"['store', 'info', 'heard', 'please', 'testflight', 'launch', 'beta', 'update', 'bode', 'response', 'mundane', 'respond', 'spend', 'time', 'build', 'proper', 'launch']",4,User Interface
36,"Noticed the news writing they offer 3.48% interest rate. After downloading the apps and trying to sign up, end up asked me to fill up my particular to  receive latest buzz updates.! 

If the bank isn’t planing to offer, please stop advertising that. Thanks!",0.172,0.043,0.785,0.7639,9,Promoter,"['news', 'offer', 'interest', 'rate', 'apps', 'sign', 'fill', 'receive', 'buzz', 'update', 'bank', 'offer', 'please', 'stop', 'advertising']",4,User Interface
37,Having problems logging onto the app. It says my phone cannot be used for GXS as it has been modified in someway. I just logged in this morning with the same phone with no problems. Please advice.,0.055,0.114,0.831,-0.3408,3,Detractor,"['problem', 'phone', 'someway', 'morning', 'phone', 'problem', 'please', 'advice']",4,User Interface
38,It’s all good! Until recently a dropped of 0.8% interest rate in such a short notice and changes,0.279,0.0,0.721,0.7345,9,Promoter,"['interest', 'rate', 'notice', 'change']",1,Money Growth (Interest Rates)
39,"Love the interface and saving pocket is so unique, can’t wait to meet my deposit goal!",0.23,0.0,0.77,0.6696,9,Promoter,"['love', 'interface', 'pocket', 'unique', 'wait', 'meet', 'deposit', 'goal']",9,Customer trust
40,The app is easy to navigate and optimise for people of all ages.,0.345,0.0,0.655,0.7003,9,Promoter,"['navigate', 'optimise', 'age']",0,App Responsiveness
41,"Brilliant app design, fast transactions, excellent rates. Keep up the good work! What more can I say?",0.433,0.0,0.567,0.8932,10,Promoter,"['brilliant', 'design', 'fast', 'transaction', 'excellent', 'rate', 'work']",5,Credit card usage
42,"The app is super easy to use, and I love the saving pockets that allow me to easily set money aside for my goals!",0.451,0.0,0.549,0.9392,10,Promoter,"['super', 'love', 'pocket', 'money', 'goal']",6,Login & Account Setup
43,"There are a number of things that are great about GXS. 
1. Ease of use
2. daily interest 
3. No hassle with minimum sum",0.34,0.069,0.592,0.8271,10,Promoter,"['number', 'thing', 'ease', 'interest', 'hassle', 'minimum']",1,Money Growth (Interest Rates)
44,"It doesn’t make the company look reputable when they offer a high interest rate only to drop it immediately after gaining enough users. It feels like a bait, which it is. They should acquire deposits through more honest and transparent methods.",0.238,0.042,0.72,0.8687,10,Promoter,"['company', 'look', 'offer', 'interest', 'rate', 'drop', 'user', 'feel', 'bait', 'deposit', 'honest', 'transparent', 'method']",4,User Interface
45,Easy to use and log in! Very clean instruction.,0.469,0.0,0.531,0.7339,9,Promoter,"['clean', 'instruction']",7,Competition
46,"Simple, straightforward to use with no bugs. Great experience",0.0,0.44,0.56,-0.6698,1,Detractor,"['simple', 'straightforward', 'bug', 'experience']",0,App Responsiveness
47,"Like the app design, especially the pockets for savings. Just waiting for the $5000 limit to be lifted.",0.128,0.0,0.872,0.3612,7,Passive,"['design', 'pocket', 'limit']",9,Customer trust
48,"Received email invite from GXS saying that I am now able to open an account. After finishing the entire onboarding application I am told they are unable to proceed with my application saying “It’s not you, it’s us”. 

Ummmm okayyyy",0.039,0.0,0.961,0.1531,6,Detractor,"['email', 'invite', 'account', 'application', 'told', 'proceed', 'application', 'ummmm', 'okayyyy']",2,Customer Services
49,Easy to use and nice UIUX. Saving pockets is an interesting and useful feature,0.531,0.0,0.469,0.8834,10,Promoter,"['uiux', 'pocket', 'feature']",6,Login & Account Setup
50,"Is GXS looking into this issue? Going to be a week, still something is wrong. What happened to iOS user testing before roll out? It’s baffling the slow service recovery GXS is impressing upon iOS users.",0.094,0.076,0.83,0.1926,6,Detractor,"['issue', 'week', 'something', 'user', 'roll', 'baffling', 'service', 'recovery', 'user']",0,App Responsiveness
51,GXS touted a 3.48% interest in their savings pocket only to change the interest to 2.68% within a short period of only a month. A bank is only as good as it’s promises and this bank just lost it all. Will never use GXS again.,0.213,0.065,0.722,0.8402,10,Promoter,"['interest', 'pocket', 'change', 'interest', 'period', 'month', 'bank', 'promise', 'bank']","1,5",Money Growth (Interest Rates) & Credit card usage
52,"Personally don’t like the theme, anyway allow user to change more brighter one?
Dark color me uncomfortable 😞",0.27,0.211,0.519,0.1513,6,Detractor,"['theme', 'user', 'change', 'brighter', 'dark', 'color']",9,Customer trust
53,This is very good. Really very helpful. I Will keep in touch with them. 👌🏽😍,0.466,0.0,0.534,0.9403,10,Promoter,"['helpful', 'touch']",0,App Responsiveness
54,Such a great service compared to Bank,0.406,0.0,0.594,0.6249,8,Passive,"['service', 'bank']",8,Safety
55,Easy to use with high interest rate,0.541,0.0,0.459,0.7096,9,Promoter,"['interest', 'rate']",1,Money Growth (Interest Rates)
56,You get the highest saving interest rate on the market,0.25,0.0,0.75,0.4588,8,Passive,"['interest', 'rate', 'market']",1,Money Growth (Interest Rates)
57,Show allow to increase amount not reduce and stay that way. For a first timer I didn’t know that once I reduce amt I cannot get back the original amount that is given to me.,0.169,0.0,0.831,0.6705,9,Promoter,"['show', 'increase', 'amount', 'stay', 'timer', 'amount']",8,Safety
58,"Income extracted from SingPass is incorrect.
Information in SingPass is correct
Which means the process of extracting information needs to be updated.",0.0,0.0,1.0,0.0,5,Detractor,"['income', 'singpass', 'incorrect', 'information', 'singpass', 'correct', 'mean', 'process', 'information', 'need']",5,Credit card usage
59,This should be removed from App Store. A bank that is not even able to accept a customer sign up. What a joke from Grab and  Singtel.,0.161,0.0,0.839,0.5859,8,Passive,"['store', 'bank', 'accept', 'customer', 'sign', 'joke', 'grab', 'singtel']","0,2",App Responsiveness & Customer Services
60,Loan disbursement was immediate. App is simple to use. Repayments just as easy.,0.195,0.0,0.805,0.4404,7,Passive,"['loan', 'disbursement', 'immediate', 'simple', 'repayment']",0,App Responsiveness
61,Best and fast loan approval,0.709,0.0,0.291,0.8074,9,Promoter,"['fast', 'loan', 'approval']","0,9",App Responsiveness & Customer trust
62,"Extremely disappointed after downloading the app, waited and waited for it to open and still told to wait and wait and wait and wait and wait……………..no ends!!!!!👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎",0.0,0.073,0.927,-0.6768,1,Detractor,"['told', 'wait', 'wait', 'wait', 'wait', 'wait', 'end']",6,Login & Account Setup
63,"I cannot open the app at all, even after updates it keeps telling something went wrong.",0.0,0.171,0.829,-0.4767,2,Detractor,"['update', 'something']",7,Competition
64,increase so much just to make us open account then now int rate worst than t bills. UI also so dark. not much use case except earn risk free rate. grab is expensive,0.137,0.152,0.711,-0.1531,4,Detractor,"['increase', 'account', 'rate', 'bill', 'dark', 'case', 'earn', 'risk', 'rate', 'grab']","1,8",Money Growth (Interest Rates) & Safety
65,Gxs provide good interest for their pocket savings.,0.496,0.0,0.504,0.7096,9,Promoter,"['provide', 'interest', 'pocket']",1,Money Growth (Interest Rates)
66,DO NOT USE THIS APP!!!! So frustrating on this app. 3 times I tried to move a small portion of money out of my pocket. 3 times the pocket becomes $0 straight away and I can’t move/transfer my money out!!!!!!!!!!!!!,0.042,0.11,0.848,-0.6136,2,Detractor,"['time', 'move', 'portion', 'money', 'pocket', 'time', 'pocket', 'straight', 'move', 'transfer', 'money']",6,Login & Account Setup
67,Gave an application to open account but the bank decided to cancel opening new accounts and the “bank” didnt even bother to inform clients! May be its a gods sign to save my money.,0.176,0.062,0.763,0.6854,9,Promoter,"['application', 'account', 'bank', 'cancel', 'opening', 'account', 'bank', 'didnt', 'bother', 'inform', 'client', 'god', 'sign', 'money']",8,Safety
68,"App keeps giving me “something went wrong” and “it’s not you, it’s us” notification whenever I attempt to log-in. Totally unusually at this time of writing.",0.088,0.0,0.912,0.34,7,Passive,"['something', 'notification', 'whenever', 'attempt', 'time']",6,Login & Account Setup
69,could you add a way to sign in using singpass password instead of only having to use the app?,0.0,0.0,1.0,0.0,5,Detractor,"['sign', 'singpass', 'password']",2,Customer Services
70,"Not prepared? Then don’t launch. See your direct competitor got a pure breeze of experience. Onboarding was swift and fast. Just think the reviews here are just made by the staff lol, focusing on UI/UX what a joke. Best UI/UX where others cannot experience YET.",0.209,0.032,0.76,0.8531,10,Promoter,"['launch', 'competitor', 'pure', 'breeze', 'experience', 'swift', 'fast', 'think', 'review', 'staff', 'joke', 'experience']",0,App Responsiveness
71,"When you asked your staff to write a 5* review, don’t just get them to write great app, easy to use or hurray. Write how did the app help you, how you benefit from the app and why the app is soooo good?",0.343,0.0,0.657,0.9601,10,Promoter,"['staff', 'write', 'review', 'write', 'hurray', 'write', 'help', 'benefit', 'soooo']",7,Competition
72,"Love the modern design, user experience was great as well.",0.598,0.0,0.402,0.886,10,Promoter,"['love', 'design', 'user', 'experience']",9,Customer trust
73,"Pls improve your good service for any person who are really need it,hope the app can improve soon",0.417,0.0,0.583,0.8402,10,Promoter,"['service', 'person', 'need', 'hope']",4,User Interface
74,A whole new era of banking. Go GXS or go home! 💪🏼,0.0,0.0,1.0,0.0,5,Detractor,"['banking', 'home']",5,Credit card usage
75,Sent me texts and email to tell me I am selected for flexi loan . But non is approved . Said borrow from $200 and above but can’t even borrow $200 😂 rejected all of my friend and family members . So who can borrow ? Millionaire ?,0.201,0.101,0.698,0.8299,10,Promoter,"['sent', 'text', 'email', 'tell', 'flexi', 'loan', 'borrow', 'borrow', 'friend', 'family', 'member', 'borrow', 'millionaire']",7,Competition
76,"Fair and transparent loans.
Interest is not like the atypical bank that is out to profit and cripple the debtor.",0.312,0.08,0.608,0.7261,9,Promoter,"['fair', 'transparent', 'loan', 'interest', 'bank', 'profit', 'cripple', 'debtor']",4,User Interface
77,Keep creating account to write fake 5 star reviews when your app is so buggy and processing time is so slow. Worst banking app ever!,0.069,0.243,0.688,-0.7629,1,Detractor,"['account', 'write', 'fake', 'star', 'review', 'buggy', 'processing', 'time', 'banking']",8,Safety
78,"Useless, lacks features and does not provide any improvement from traditional banks available in Singapore",0.0,0.289,0.711,-0.6463,1,Detractor,"['useless', 'lack', 'feature', 'provide', 'improvement', 'bank', 'singapore']",1,Money Growth (Interest Rates)
79,"Reduced interest from 3.48 to 2.68% in less than a month, kenna baited to start an account here. Have removed all my funds and closed my account.",0.103,0.0,0.897,0.4588,8,Passive,"['interest', 'le', 'month', 'kenna', 'start', 'account', 'fund', 'account']",3,Services & Products
80,"THIS LITERALLY SAVED ME, i recommendation is high as the giant touches the sky",0.214,0.0,0.786,0.5473,8,Passive,"['recommendation', 'giant', 'touch']",8,Safety
81,When I sign up can’t sign up always say oops something went wrong please try again,0.119,0.16,0.722,-0.2023,4,Detractor,"['sign', 'sign', 'something', 'please']",3,Services & Products
82,Great plat form … easy to use and hassle free.,0.595,0.0,0.405,0.8834,10,Promoter,"['plat', 'form', 'hassle']",4,User Interface
83,reliable and quick response,0.0,0.0,1.0,0.0,5,Detractor,"['quick', 'response']",4,User Interface
84,Pockets are unique and useful,0.42,0.0,0.58,0.4404,7,Passive,"['pocket', 'unique']",9,Customer trust
85,Good interest rate on pockets and great user experience.,0.625,0.0,0.375,0.875,10,Promoter,"['interest', 'rate', 'pocket', 'user', 'experience']",1,Money Growth (Interest Rates)
86,Love the savings pockets and daily interest!,0.6,0.0,0.4,0.8172,9,Promoter,"['love', 'pocket', 'interest']",6,Login & Account Setup
87,Did an intern write that script? Nice.,0.318,0.0,0.682,0.4215,7,Passive,"['intern', 'write', 'script']",1,Money Growth (Interest Rates)
88,Nice And Fast Bank,0.483,0.0,0.517,0.4215,7,Passive,"['fast', 'bank']",0,App Responsiveness
89,Best get back to the drawing board. Design thinking  forget about the  many “dumb” users out there including me.,0.182,0.082,0.736,0.5106,8,Passive,"['board', 'design', 'forget', 'dumb', 'user']",9,Customer trust
90,"What if I urgently need access to my money? This is not the way to go.
🤬",0.0,0.0,1.0,0.0,5,Detractor,"['need', 'access', 'money']",0,App Responsiveness
91,Deleted the app. Sick of it serving no other purpose currently than being a lead generator.,0.0,0.282,0.718,-0.6705,1,Detractor,"['sick', 'purpose', 'lead', 'generator']",3,Services & Products
92,"Access to funds blocked, no transparency apart from it being a recognized technical issue, no ETA and no communications from Grab or Singtel.",0.0,0.314,0.686,-0.7717,1,Detractor,"['access', 'fund', 'transparency', 'issue', 'communication', 'grab', 'singtel']",2,Customer Services
93,"app is really easy to navigate, user-friendly",0.347,0.0,0.653,0.4927,8,Passive,"['navigate', 'user']",9,Customer trust
94,Unable to sign in to account,0.0,0.0,1.0,0.0,5,Detractor,"['sign', 'account']",2,Customer Services
95,Is this really an authentic app for GXS? Looks cheap.,0.0,0.0,1.0,0.0,5,Detractor,"['look', 'cheap']",2,Customer Services
96,save ur money and grow,0.444,0.0,0.556,0.4939,8,Passive,"['money', 'grow']",2,Customer Services
97,Lack the basic function to save a payee,0.278,0.2,0.522,0.2263,6,Detractor,"['lack', 'function', 'payee']",1,Money Growth (Interest Rates)
98,"useless app.  unable to join or open account,
app is not open to all in sg",0.116,0.147,0.737,-0.1531,4,Detractor,"['useless', 'join', 'account']",2,Customer Services
99,Great features! Love it!,0.816,0.0,0.184,0.8715,10,Promoter,"['feature', 'love']",9,Customer trust
100,first bank to reduce interest rates for savings but interest rates for loans stay high,0.316,0.0,0.684,0.7184,9,Promoter,"['bank', 'interest', 'rate', 'interest', 'rate', 'loan', 'stay']",1,Money Growth (Interest Rates)
