,Review,Positive Score,Negative Score,Neutral Score,Compound Score,nps_indiv,nps_category,clean_review,Topic_Number,Topic_Name
101,"I was trying to make payment using Paynow Qr code using scan and pay. Merchant create a dynamic QR code of payment $15.7 but the GXS app scan and pay read in as $15.07
Pls advice to correct the mistake as it make me and merchant very inconvenience.",0.087,0.173,0.74,-0.6994,1,Detractor,"['payment', 'paynow', 'code', 'merchant', 'create', 'code', 'payment', 'read', 'advice', 'correct', 'mistake', 'merchant', 'inconvenience']",3,Services & Products
102,"21 Jul 23:
The integration on iPad is off. The first time login requires SingPass as a safety feature but it doesn’t generate a QR Code. Devs should consider a workaround. 

Pending dev feedback before rating change.",0.05,0.0,0.95,0.2263,6,Detractor,"['integration', 'ipad', 'time', 'login', 'singpass', 'safety', 'feature', 'generate', 'code', 'devs', 'workaround', 'feedback', 'rating', 'change']",8,Safety
103,cant logging using finger print . previously still able to use . so pissed off with the update .,0.0,0.23,0.77,-0.7481,1,Detractor,"['cant', 'finger', 'print', 'update']","3,5",Services & Products & Credit card usage
104,For 1st time registration signup by singpass and all info's needed but still my application is denied.,0.0,0.194,0.806,-0.5927,2,Detractor,"['time', 'registration', 'signup', 'singpass', 'info', 'application']",6,Login & Account Setup
105,"Updated - Kindly ignore my previous rating, and I have amended my rating. My son did a Giro to link his Grab Account to GXS but neglected to inform us of the transaction.",0.055,0.165,0.78,-0.6428,1,Detractor,"['ignore', 'rating', 'rating', 'giro', 'link', 'grab', 'account', 'inform', 'transaction']",6,Login & Account Setup
106,They unable to process my application. 4x attempt,0.0,0.0,1.0,0.0,5,Detractor,"['process', 'application', 'attempt']",9,Customer trust
107,Try logging in after logging out completely. Cannot see Singpass QR at all. How to log in again? Something wrong with new updates?,0.0,0.136,0.864,-0.5362,2,Detractor,"['singpass', 'something', 'update']",7,Competition
108,Fingerprint login no longer work since 2 months back.. all other bank apps doesn't have such issues.,0.0,0.121,0.879,-0.296,3,Detractor,"['fingerprint', 'login', 'longer', 'work', 'month', 'bank', 'apps', 'issue']",4,User Interface
109,"Love the function of having multiple pockets as it helps me to track each target accordingly. Thank you for the genius allocation! Would have given 4.5 if there was, with the 0.5 hoping for unlimited numbers of pockets. :"")",0.261,0.0,0.739,0.908,10,Promoter,"['love', 'function', 'multiple', 'pocket', 'help', 'track', 'target', 'thank', 'genius', 'allocation', 'number', 'pocket']",4,User Interface
110,Quick transfers to bank acc and fast repayments. Very suitable for short term loans,0.0,0.0,1.0,0.0,5,Detractor,"['quick', 'transfer', 'bank', 'fast', 'repayment', 'term', 'loan']",0,App Responsiveness
111,"A feature they should implement is to save your recipients which you FAST to, makes it a lot safer as it prevents mistaken sending of funds to unintended recipients after the 1st transfer.",0.188,0.064,0.747,0.5859,8,Passive,"['feature', 'implement', 'recipient', 'fast', 'safer', 'mistaken', 'fund', 'recipient', 'transfer']",9,Customer trust
112,Hi any chance for foreign to apply? Im work at sg,0.167,0.0,0.833,0.25,6,Detractor,"['chance', 'work']",6,Login & Account Setup
113,"Really really damm time wasting, if not ready for sign up don't launch. Close down and don't let people wait for you, uninstalling now. Trust Bank is much better, CRAB!",0.173,0.135,0.692,0.3439,7,Passive,"['damm', 'time', 'sign', 'launch', 'wait', 'trust', 'bank', 'crab']",8,Safety
114,"Been using this bank for a while now and didn't face any major problems. What I enjoyed the most is the saving pockets area where we could create different pockets for each saving we want to do and even add goals into it. The 2.68% per annum is added daily (0.01) as long as you have a minimum of 150 in your savings. If not, you'll have to wait till your it accumulates up to 0.01 to be added. There was also cashback when you make payment using the card which I didn't know till recently.",0.066,0.029,0.905,0.4033,7,Passive,"['bank', 'face', 'problem', 'pocket', 'area', 'create', 'pocket', 'want', 'goal', 'annum', 'minimum', 'wait', 'till', 'cashback', 'payment', 'card', 'till']",6,Login & Account Setup
115,"Great app that can park your savings using pockets, but hopefully the interest rate of the savings pockets will increase due to the current economic conditions",0.372,0.0,0.628,0.9194,10,Promoter,"['park', 'pocket', 'interest', 'rate', 'pocket', 'increase', 'condition']",1,Money Growth (Interest Rates)
116,"Unable to login or use the forgot password function. System only replied with ""something wrong please try again later"" Now I was told I must wait for the next version of app to be rolled out progressively before I can login. Hopefully won't take too long",0.098,0.061,0.841,0.2263,6,Detractor,"['login', 'forgot', 'password', 'function', 'system', 'something', 'please', 'told', 'wait', 'version', 'login']",6,Login & Account Setup
117,"Sorry to have said this, why not this gxbank through by gxbank for worldwide",0.0,0.091,0.909,-0.0772,5,Detractor,"['sorry', 'gxbank', 'gxbank', 'worldwide']",0,App Responsiveness
118,I don't set. A password in my phone n not allow me to down load this apps,0.0,0.094,0.906,-0.1695,4,Detractor,"['password', 'phone', 'load', 'apps']",5,Credit card usage
119,When to sign up for the account in last year august. 5 months has pass still waiting. Please help to solve the issue.,0.254,0.0,0.746,0.7003,9,Promoter,"['sign', 'account', 'year', 'august', 'month', 'pas', 'please', 'help', 'solve', 'issue']",3,Services & Products
120,I'm stuck on the singpass page without being able to proceed. All is updated to latest ver.,0.0,0.111,0.889,-0.25,4,Detractor,"['stuck', 'singpass', 'page', 'proceed']",7,Competition
121,Love GxS bank. Would it be available on Google Pay as well? 😉,0.337,0.075,0.588,0.7096,9,Promoter,"['love', 'bank', 'google']",8,Safety
122,Occasionally getting unable to login error.,0.0,0.351,0.649,-0.4019,3,Detractor,"['login', 'error']",4,User Interface
123,"Buggy app, bad interest rate",0.316,0.368,0.316,-0.128,4,Detractor,"['buggy', 'interest', 'rate']",1,Money Growth (Interest Rates)
124,I am unable to log in today when i could yesterday. I cant transfer my money out to use. There is no alternative like physical counter or website so my money is stuck when i urgently need my money.,0.0,0.149,0.851,-0.6497,1,Detractor,"['today', 'yesterday', 'cant', 'transfer', 'money', 'alternative', 'counter', 'website', 'money', 'stuck', 'need', 'money']",5,Credit card usage
125,What a nonsense app is this??download but say got malware in my hp?and ask me to fix my app?wth?,0.0,0.135,0.865,-0.4234,3,Detractor,"['nonsense', 'download', 'malware']",3,Services & Products
126,"Your phone cannot be used Lol, which part of my phone have been modified? Nvr root or anything This is something that should not even be released to the public when you can't even get device authentication working UPDATE: So they decided to just close my issue and deemed it as ""resolved"" when it isn't Dont ever use this pos software",0.027,0.037,0.936,-0.1611,4,Detractor,"['phone', 'part', 'phone', 'root', 'anything', 'something', 'public', 'device', 'authentication', 'update', 'issue', 'dont', 'software']",7,Competition
127,Easy loan and easy payment with no hassle.,0.446,0.169,0.385,0.5574,8,Passive,"['loan', 'payment', 'hassle']",7,Competition
128,Very good digital savings bank account that helps grow our funds.,0.392,0.0,0.608,0.6997,9,Promoter,"['digital', 'bank', 'account', 'help', 'grow', 'fund']",2,Customer Services
129,"Few months have passed. And we still can't add favourite payee, etc. Can u guy really work on it",0.0,0.0,1.0,0.0,5,Detractor,"['month', 'favourite', 'payee', 'work']",5,Credit card usage
130,"I not be able to log in GXS bank today after I pay off my 1st outstanding loan. Is there a bug or hack? I hope my $ was offset for the loan. Even even I restart, power on off my phone, after updating the app, I unable to log in. When I log in with fingerprint, keep loading. Pls help.",0.16,0.02,0.82,0.8591,10,Promoter,"['bank', 'today', 'loan', 'hack', 'hope', 'offset', 'loan', 'restart', 'power', 'phone', 'fingerprint', 'help']",7,Competition
131,"Seriously makes you wonder how grab and singtel took so long to come up with an app and there is no simple things like adding a payee. The debit card was only recently released when trust came up with a proper product more than a year ago with a proper rewards programme. Just like its owners, GXS is a failure.",0.159,0.101,0.74,0.6369,9,Promoter,"['wonder', 'grab', 'singtel', 'simple', 'thing', 'payee', 'debit', 'card', 'trust', 'proper', 'product', 'year', 'proper', 'reward', 'programme', 'owner', 'failure']",3,Services & Products
132,"Why do the app ask me to rate on Play Store if my rating on the app is 5, but there was no such questions when I put a 1 rating on the app? It encourages unfair ratings on the Play Store.",0.164,0.132,0.703,0.1779,6,Detractor,"['rate', 'play', 'store', 'rating', 'question', 'rating', 'unfair', 'rating', 'play', 'store']",3,Services & Products
133,"Great interest rates and card spending rebates, and the app is also simple and easy to use.",0.417,0.0,0.583,0.875,10,Promoter,"['interest', 'rate', 'card', 'spending', 'rebate', 'simple']",1,Money Growth (Interest Rates)
134,"Reminder, please up to date your app for users to activate Gxs debit physical card. Currently facing a small issue with logging in my GXS app & only through the app. + 5 secret digit number to input. All the best to new peeps have same trouble as me.... Cheers.",0.186,0.046,0.768,0.802,9,Promoter,"['reminder', 'please', 'date', 'user', 'activate', 'debit', 'card', 'issue', 'secret', 'digit', 'number', 'input', 'peep', 'trouble', 'cheer']",3,Services & Products
135,Hang when i want to log in with sing pass,0.126,0.0,0.874,0.0772,5,Detractor,"['hang', 'want', 'pas']",1,Money Growth (Interest Rates)
136,Cannot set up my account in redmi 8T. Reach the email 2FA before I key in the numbers App closed,0.055,0.0,0.945,0.0258,5,Detractor,"['account', 'redmi', 'reach', 'email', 'number']",6,Login & Account Setup
137,"Easy to use, clear info and rapid yet secure transactions. Highly recommend.",0.572,0.0,0.428,0.8655,10,Promoter,"['info', 'secure', 'transaction', 'recommend']",7,Competition
138,Ease of use and payments,0.385,0.0,0.615,0.3612,7,Passive,"['ease', 'payment']","3,8",Services & Products & Safety
139,"Dumbest banking app ever. Get your own people to put 5*, never seen such app before, if you are good then make the app good and give 3.48%",0.17,0.097,0.733,0.3612,7,Passive,"['dumbest', 'banking']",9,Customer trust
140,Been waiting since july to open an account.. Remembered that i sign up for early access first time round and was told would be informed once new slots are available for sign up.. As weeks goes by i see that other people were invited to open an account but not me.. Now 4 mths later am trying again and signed up again for early access..,0.0,0.0,1.0,0.0,5,Detractor,"['july', 'account', 'sign', 'access', 'time', 'round', 'told', 'slot', 'sign', 'week', 'account', 'access']",3,Services & Products
141,Easy & fast approval of loan with reasonable interest rates. GXS is giving other banks a run for their $$$. All the best GXS Bank!,0.443,0.0,0.557,0.9422,10,Promoter,"['fast', 'approval', 'loan', 'interest', 'rate', 'bank', 'bank']","0,1",App Responsiveness & Money Growth (Interest Rates)
142,Great bank..Good interest rate,0.78,0.0,0.22,0.7964,9,Promoter,"['bank', 'interest', 'rate']",1,Money Growth (Interest Rates)
143,Super efficient 👍,0.77,0.0,0.23,0.7717,9,Promoter,"['super', 'efficient']",9,Customer trust
144,Almost perfect; I want to transfer via bank account number but they do no allow me to save the bank details so I'm stuck twitch manually entering the details everytime when I need to do transfer which can be prone to human error.,0.163,0.159,0.677,-0.201,4,Detractor,"['perfect', 'want', 'transfer', 'bank', 'account', 'number', 'bank', 'detail', 'stuck', 'twitch', 'detail', 'everytime', 'need', 'transfer', 'prone', 'human', 'error']",0,App Responsiveness
145,Worst rate you will ever find. Bank interest are much more forgiving. This app calculate and told me about 8.5% Per/annum. Total outrageous. That's close to ah long rate . Horrible horrible. Straight away uninstalled,0.16,0.285,0.555,-0.8074,1,Detractor,"['rate', 'bank', 'interest', 'calculate', 'told', 'annum', 'rate', 'straight']",1,Money Growth (Interest Rates)
146,I hope the GXS Bank can given the interest 10% p.a as deposit $1 into the saving account as a free gift .,0.389,0.0,0.611,0.9022,10,Promoter,"['hope', 'bank', 'interest', 'deposit', 'account', 'gift']",4,User Interface
147,False advertising of rates.,0.0,0.0,1.0,0.0,5,Detractor,"['advertising', 'rate']","1,8",Money Growth (Interest Rates) & Safety
148,"Gxs is simple and easy to use, with a saving account/pocket that has no TnC. But not being able to add payees for FAST transfer is quite a setback and detrimental considering it as a basic common banking service that most people do. As a digital bank, isn't it pertinent to include basic online banking service like adding of payee?",0.082,0.025,0.893,0.5574,8,Passive,"['simple', 'account', 'pocket', 'payee', 'fast', 'transfer', 'setback', 'detrimental', 'banking', 'service', 'digital', 'bank', 'pertinent', 'include', 'online', 'banking', 'service', 'payee']",8,Safety
149,"Closed my account without giving me any reason. Just started to put money in the account to earn interest, merely only earned $4 of interest in total.",0.187,0.064,0.749,0.6077,8,Passive,"['account', 'reason', 'money', 'account', 'earn', 'interest', 'interest']",1,Money Growth (Interest Rates)
150,"Fast and easier way to get the loan amount, as a foreigner i cant make but my friend helped me, it will be useful if foreigner also can borrow.. This is a suggestion.. Thanks",0.317,0.0,0.683,0.9313,10,Promoter,"['fast', 'loan', 'amount', 'foreigner', 'cant', 'friend', 'foreigner', 'borrow', 'suggestion']",5,Credit card usage
151,Seems to be full. Unable to sign up. Uninstalling since it is the case.,0.0,0.0,1.0,0.0,5,Detractor,"['sign', 'case']",2,Customer Services
152,"1) long waiting list 2) everytime i log into waiting list, it's as if I'm not in the waiting list as they ask me to sign up to be in the waiting list 🙄 alr 4 time alr 3) of course I'm still not in the GXS list Had sent light for the long wait. Meanwhile while it isn't approved I'll delete since I won't be able to use it. 😑 No spaces.",0.0,0.057,0.943,-0.5472,2,Detractor,"['list', 'everytime', 'list', 'list', 'sign', 'list', 'time', 'course', 'list', 'sent', 'light', 'wait', 'delete', 'space']",3,Services & Products
153,"Pathetic app and support. Paynow qr, which is the only way to spend money from this bank account is not working for months and support is providing meaningless replies",0.146,0.178,0.676,-0.296,3,Detractor,"['support', 'paynow', 'spend', 'money', 'bank', 'account', 'month', 'support', 'meaningless', 'reply']",7,Competition
154,"You are welcome! I had hoped to keep more money long term but after only 1 month with GXS, your interest rate dropped greatly! Please have ""Add Payee"" to reduce errors - no Copy & Paste so we need to memorise long account numbers! Jul2023 Review - Seamless transactions. Great fun bank to bank with. I like the pockets idea where I am able to see where my goals are heading! The interest is the icing on the cake! Great UI and UX! Easiest digital bank to use! Thank you very much, Dev & Team!",0.325,0.045,0.63,0.9902,10,Promoter,"['welcome', 'money', 'term', 'month', 'interest', 'rate', 'please', 'payee', 'error', 'copy', 'paste', 'need', 'memorise', 'account', 'number', 'review', 'seamless', 'transaction', 'bank', 'bank', 'pocket', 'idea', 'goal', 'interest', 'cake', 'digital', 'bank', 'thank', 'team']",8,Safety
155,It really helps when really in need. So easy to do it. It's at your fingertips.,0.322,0.0,0.678,0.7673,9,Promoter,"['help', 'need', 'fingertip']",0,App Responsiveness
156,Easy to apply good full amount of loan given compare to outside or lending bee ... or they never cut your loan amouny . interest can be save if payment early. multiple loan also can.. only it could be better if can increase loan amount after loan given .. or can be resgistet again once deleted.,0.28,0.0,0.72,0.9518,10,Promoter,"['amount', 'loan', 'compare', 'lending', 'loan', 'amouny', 'interest', 'payment', 'multiple', 'loan', 'increase', 'loan', 'amount', 'loan', 'resgistet']",3,Services & Products
157,"The UIUX of the app is definitely the best amongst the banks right now, looking forward to more products",0.289,0.0,0.711,0.7845,9,Promoter,"['uiux', 'amongst', 'bank', 'right', 'product']",4,User Interface
158,"How many attempts for the year. Until now, message still the same. It’s not you, it’s us. We understand that receiving this news may be disappointing. And while we’re unable to disclose the specific reasons why your GXS FlexiLoan application wasn’t approved, please know that every GXS FlexiLoan application goes through an evaluation process that must meet our eligibility criteria and internal assessment requirements.",0.074,0.046,0.88,0.2263,6,Detractor,"['attempt', 'year', 'message', 'understand', 'news', 'reason', 'flexiloan', 'application', 'please', 'flexiloan', 'application', 'evaluation', 'process', 'meet', 'eligibility', 'criterion', 'assessment', 'requirement']",9,Customer trust
159,"Year 2023, a banking app that can't save pay, are you living in yesteryears?",0.081,0.165,0.754,-0.3252,3,Detractor,"['year', 'banking', 'living', 'yesteryear']",7,Competition
160,"Cannot register, keep nothing pop up On sign up",0.0,0.0,1.0,0.0,5,Detractor,"['register', 'nothing', 'sign']",0,App Responsiveness
161,No debit card. Max interest reduced to only 2.65 now within one month of start.,0.165,0.121,0.714,0.2023,6,Detractor,"['debit', 'card', 'interest', 'month', 'start']",3,Services & Products
162,is there a login issue now,0.0,0.0,1.0,0.0,5,Detractor,"['login', 'issue']",9,Customer trust
163,"Poor, get in touch with email late response after few weeks then replied. Not recommending 😔",0.0,0.224,0.776,-0.5142,2,Detractor,"['touch', 'email', 'response', 'week']",6,Login & Account Setup
164,Great concept on the savings account. Daily interest really motivates keeping money there. Hope to see GXS bank grow and increase the savings account limit. Edit: Interest rate drop significantly. Moving out.,0.353,0.048,0.599,0.9217,10,Promoter,"['concept', 'account', 'interest', 'money', 'hope', 'bank', 'grow', 'increase', 'account', 'limit', 'edit', 'interest', 'rate', 'drop']","1,2",Money Growth (Interest Rates) & Customer Services
165,Can't even open the GXS app... the only way to access your account with a digital bank. It's like placing your money and cementing it with a roof and 4 walls with no doors!,0.075,0.059,0.865,0.1511,6,Detractor,"['access', 'account', 'digital', 'bank', 'money', 'roof', 'wall', 'door']",5,Credit card usage
166,Attempt to try but it keep post something wrong.cannot go thru the apps.dont know why?3 times try even more but still can't get thru?,0.0,0.0,1.0,0.0,5,Detractor,"['attempt', 'post', 'something', 'thru', 'apps', 'dont', 'time', 'thru']",9,Customer trust
167,Unable to open the app and use my funds. Is this some kind of cash grab?,0.0,0.0,1.0,0.0,5,Detractor,"['fund', 'kind', 'cash', 'grab']",1,Money Growth (Interest Rates)
168,"Wasn't able to log in since 7 Sept. Called the CSO hotline on 9 Sept and was told to try resending the email OTP. Checked the email junk box and retried multiple times but didn't receive any emails. Was told that they had to check on the back end. When asked when I could receive a response, they mentioned 2 working days?? But this means I wouldn't be able to carry out any transactions for 5 whole days. Imagine if I had a critical transaction to carry out! I would have no access to my funds!!!!",0.0,0.072,0.928,-0.8062,1,Detractor,"['sept', 'hotline', 'sept', 'told', 'email', 'email', 'junk', 'multiple', 'time', 'receive', 'email', 'told', 'check', 'receive', 'response', 'day', 'mean', 'carry', 'transaction', 'day', 'imagine', 'transaction', 'carry', 'access', 'fund']",6,Login & Account Setup
169,App got problem can't login,0.0,0.403,0.597,-0.4019,3,Detractor,"['problem', 'login']",4,User Interface
170,"Stuck on Oops, something went wrong page when opening the app, while overseas. I can't imagine if I was in a urgent situation and my banking app failed like this. No way to access funds through a browser too means you can't do anything at all other than hope the problem is fixed soon. Put what you can afford to lose.",0.096,0.213,0.691,-0.8316,0,Detractor,"['stuck', 'something', 'page', 'opening', 'imagine', 'urgent', 'situation', 'banking', 'access', 'fund', 'browser', 'mean', 'anything', 'hope', 'problem', 'afford']",0,App Responsiveness
171,Unable to open all of a sudden when I try on 7 Sep and only stuck in loading screen,0.0,0.1,0.9,-0.25,4,Detractor,"['stuck', 'screen']",7,Competition
172,False promise so fast change interest rate,0.527,0.0,0.473,0.6771,9,Promoter,"['promise', 'fast', 'change', 'interest', 'rate']","1,5",Money Growth (Interest Rates) & Credit card usage
173,Unexpected error when trying to login. Kindly fix this issue ASAP.,0.215,0.181,0.604,0.128,6,Detractor,"['error', 'login', 'issue', 'asap']",4,User Interface
174,"Unable to open app. From other reviews, seems I am not the only one. How to trust this bank?",0.155,0.0,0.845,0.5106,8,Passive,"['review', 'trust', 'bank']",8,Safety
175,"Cannot login all of a sudden. Tried to uninstall and reinstall. Still no changes. What do i do here? I've got a pending repayment due. And if this continues, i will mostly probably be charged the late interest due the the app have login issues.",0.061,0.082,0.857,0.0,5,Detractor,"['login', 'uninstall', 'reinstall', 'change', 'repayment', 'interest', 'login', 'issue']",9,Customer trust
176,"Cannot seem to open the app suddenly. Did not install new apps or change any setting on phone. Tried uninstalling and reinstalling still no avail. Although your CSO has been trying to rectify, it is still unsolvable. Sad, as when it first came out, I was the one of the many who applied in the beginning stage. Your services helped me. But now I have no access to it.",0.0,0.089,0.911,-0.6652,1,Detractor,"['seem', 'install', 'apps', 'change', 'phone', 'avail', 'stage', 'service', 'access']",0,App Responsiveness
177,Am trying to redo application. So i closed account. Now cannot re open. Quote lost in space,0.0,0.126,0.874,-0.3182,3,Detractor,"['redo', 'application', 'account', 'quote', 'space']",2,Customer Services
178,"Just found out that they are reducing their interest rate to a pathetic 2.68%. don't like this bait and switch marketing strategy, lure us with high interest rate then suddenly drop the interest rates once they get enough sign ups. [Update] Whats the point of increasing the main wallet interest when no one puts money there? Its not like you're increasing it back to 3.48% right? The pt is the big reduction of the Pockets interest rates which is the key thing that people arent happy about.",0.141,0.146,0.713,0.2828,7,Passive,"['found', 'interest', 'rate', 'bait', 'switch', 'marketing', 'strategy', 'lure', 'interest', 'rate', 'drop', 'interest', 'rate', 'sign', 'update', 'point', 'wallet', 'interest', 'put', 'money', 'right', 'reduction', 'pocket', 'interest', 'rate', 'thing', 'arent']",1,Money Growth (Interest Rates)
179,Firstly i can't even log in shows some error n stuff haiz,0.0,0.197,0.803,-0.4019,3,Detractor,"['show', 'error', 'stuff', 'haiz']",2,Customer Services
180,Cannot open the apps. Why partner with Grab? Useless app,0.0,0.237,0.763,-0.4215,3,Detractor,"['apps', 'partner', 'grab', 'useless']",2,Customer Services
181,"An absolutely rubbish apps, with zero chance of getting loan approval, totally useless",0.28,0.17,0.55,0.2516,6,Detractor,"['rubbish', 'apps', 'zero', 'chance', 'loan', 'approval', 'useless']",2,Customer Services
182,Have not even tried already failed on me. Just to download has the error and ask to download again .. 😔,0.049,0.228,0.722,-0.6908,1,Detractor,"['download', 'error', 'download']",3,Services & Products
183,"The apps cannot make it. I tried to apply for a loan. After filling up all the forms, unable to proceed after the last question, are you a US citizens. The next button does not pop up be the answer is yes or No.",0.059,0.0,0.941,0.4019,7,Passive,"['apps', 'loan', 'form', 'proceed', 'question', 'citizen', 'button', 'answer']",7,Competition
184,"Only Singaporean can apply for loan, good if everyone can apply.",0.225,0.0,0.775,0.4404,7,Passive,"['singaporean', 'loan', 'everyone']",3,Services & Products
185,Reduce interest rate in less than a month. Waste time open account here.,0.179,0.167,0.655,0.0516,5,Detractor,"['interest', 'rate', 'le', 'month', 'waste', 'time', 'account']",3,Services & Products
186,Bait and switch 👎🏼 Switching to standard chartered eSaver for 3.4% interest,0.167,0.0,0.833,0.4588,8,Passive,"['bait', 'switch', 'standard', 'esaver', 'interest']","1,5",Money Growth (Interest Rates) & Credit card usage
187,"""Oops something went wrong! ..."" (if only i can attach a screenshot)",0.0,0.236,0.764,-0.5255,2,Detractor,"['something', 'attach', 'screenshot']",9,Customer trust
188,No option to add payees,0.0,0.355,0.645,-0.296,3,Detractor,"['option', 'payee']",5,Credit card usage
189,Garbage company for deceiving the public,0.0,0.324,0.676,-0.34,3,Detractor,"['garbage', 'company', 'public']",5,Credit card usage
190,"Barely a month in, GXS has indeed chosen to slash their interest rates i.e. effective 17 August 2023 onwards, the interest rate earned on Saving Pocket(s) funds have been adjusted from 3.48% p.a. to 2.68% p.a.",0.211,0.049,0.741,0.7906,9,Promoter,"['month', 'chosen', 'slash', 'interest', 'rate', 'august', 'interest', 'rate', 'pocket', 'fund']","1,3",Money Growth (Interest Rates) & Services & Products
191,I seem to be having issues with the opening of the app.,0.0,0.0,1.0,0.0,5,Detractor,"['seem', 'issue', 'opening']",0,App Responsiveness
192,Interest rate dropping substantially after just ONE MONTH. Kind of hilarious. Moving out!,0.341,0.0,0.659,0.6907,9,Promoter,"['interest', 'rate', 'month', 'kind']","1,3",Money Growth (Interest Rates) & Services & Products
193,"3.48% interest rate only last for 2weeks, the main selling point for this app is now dropped to 2.68% pa 😂",0.221,0.062,0.717,0.7096,9,Promoter,"['interest', 'rate', 'week', 'point']",1,Money Growth (Interest Rates)
194,after two week still pending my account.,0.0,0.0,1.0,0.0,5,Detractor,"['week', 'account']",5,Credit card usage
195,Seamless. Got it up and running in less than 5mins! Easy to transfer in and out from other banks. I like the daily interest credit. Helps me set aside money for daily use and motivates me to check how much I'm getting everyday. Dun understand why there are gripes and complaints from other reviewers. This app is fantastic 😍,0.263,0.035,0.702,0.9479,10,Promoter,"['seamless', 'le', 'min', 'transfer', 'bank', 'interest', 'credit', 'help', 'money', 'check', 'everyday', 'understand', 'gripe', 'complaint', 'reviewer']",2,Customer Services
196,I have been trying for few hours to signed up for the flexiloan using Singpass.. till now it shows couldn't retrieve Myinfo.. wanted to Live Chat with anyone for assistance but there's no icon showing Live chat at the help center at all..,0.075,0.059,0.866,0.1901,6,Detractor,"['hour', 'flexiloan', 'singpass', 'till', 'show', 'retrieve', 'myinfo', 'chat', 'anyone', 'assistance', 'icon', 'chat', 'help', 'center']",2,Customer Services
197,"Good to see increased competition in the banking space (high interest is good, but inexplicably only given within a saving pocket), but GXS app lacks basic functionality, eg. ability to save payees (at the point of writing this review, these details need to be re-input each time - irritating and error prone). Suggest that rather than working on cool, but otherwise non-essential functions (like saving pockets), the company should focus on the basics first.",0.226,0.082,0.692,0.8847,10,Promoter,"['competition', 'banking', 'space', 'interest', 'pocket', 'lack', 'functionality', 'ability', 'payee', 'point', 'review', 'detail', 'need', 'input', 'time', 'error', 'prone', 'suggest', 'cool', 'function', 'pocket', 'company', 'focus']",4,User Interface
198,"Registering, get the notice it's full and sign for interest. Received email notification, sign up to get prompt to sign for interest...again.",0.125,0.0,0.875,0.4588,8,Passive,"['notice', 'sign', 'interest', 'email', 'notification', 'sign', 'prompt', 'sign', 'interest']",1,Money Growth (Interest Rates)
199,Tried multiple times still unable to sign up....,0.0,0.0,1.0,0.0,5,Detractor,"['multiple', 'time', 'sign']",2,Customer Services
200,"No support for SGQR. When only way to spend is QR pay, atleast support SGQR, GrabPay as very few business have Paynow QR!",0.101,0.148,0.75,0.0859,5,Detractor,"['support', 'sgqr', 'spend', 'atleast', 'support', 'sgqr', 'grabpay', 'business', 'paynow']",1,Money Growth (Interest Rates)
201,Can GXS pls explain why the app keeps saying there is unexpected error and I cannot even open the app????,0.057,0.159,0.784,-0.5204,2,Detractor,"['explain', 'error']",6,Login & Account Setup
202,Dogshit app that takes forever to setup and days to review applications,0.0,0.0,1.0,0.0,5,Detractor,"['dogshit', 'setup', 'day', 'review', 'application']",0,App Responsiveness
203,Cui full. Cannot sign up. Only on waiting list. What a waste.,0.0,0.203,0.797,-0.4215,3,Detractor,"['sign', 'list', 'waste']",3,Services & Products
204,Lousy app. Applied on Saturday and was informed that application closed on Tuesday. Waste time.,0.0,0.326,0.674,-0.743,1,Detractor,"['lousy', 'saturday', 'application', 'tuesday', 'waste', 'time']",9,Customer trust
205,Not worth the effort to sign up. Not transparent in application selection process.,0.0,0.122,0.878,-0.1695,4,Detractor,"['worth', 'effort', 'sign', 'transparent', 'application', 'selection', 'process']",4,User Interface
206,All early sign up slots taken? I thought it's already open for all to sign up ?,0.0,0.0,1.0,0.0,5,Detractor,"['sign', 'slot', 'thought', 'sign']",2,Customer Services
207,Download already can't even open the file.,0.0,0.0,1.0,0.0,5,Detractor,"['download', 'file']",2,Customer Services
