,Review,Positive Score,Negative Score,Neutral Score,Compound Score,nps_indiv,nps_category,clean_review,Topic_Number,Topic_Name
208,"I installed the app and got to the first screen. When I tried to proceed, it popped up a message saying and there is an overlap app that is NOT SECURED. It then asked if I want to proceed. What is this about?",0.029,0.062,0.909,-0.3612,3,Detractor,"['screen', 'proceed', 'popped', 'message', 'overlap', 'want', 'proceed']",7,Competition
209,such a lousy app. cant even login or set up account,0.0,0.259,0.741,-0.5423,2,Detractor,"['lousy', 'cant', 'login', 'account']",5,Credit card usage
210,"I wish we can put a 0 star for it. Make you create an account, wait for it only to tell you that it is full while others cut queue to have the account created while you continue to wait. Probably just out to farm your data. Dont bother",0.161,0.038,0.801,0.6943,9,Promoter,"['wish', 'star', 'create', 'account', 'wait', 'tell', 'queue', 'account', 'continue', 'wait', 'farm', 'dont', 'bother']",2,Customer Services
211,Simple to use. Took a short while to know how to process. Hope that they can maintain the great interest. Good job GXS.,0.404,0.0,0.596,0.9169,10,Promoter,"['simple', 'process', 'hope', 'maintain', 'interest']",1,Money Growth (Interest Rates)
212,App is not clear and Singpass details are not accurate for them. It didn't allow me to open an account....,0.0,0.176,0.824,-0.431,3,Detractor,"['singpass', 'detail', 'accurate', 'account']",8,Safety
213,Buggy app and bad customer support,0.265,0.343,0.392,-0.2023,4,Detractor,"['buggy', 'customer', 'support']",6,Login & Account Setup
214,"Great experience. Setup, top up, setup pocket and transfer smoothly",0.424,0.0,0.576,0.7096,9,Promoter,"['experience', 'setup', 'setup', 'pocket', 'transfer']",7,Competition
215,"Sign up failed without given a reason. Ask to see FAQ but click it doesn't link to it. Hello! I don't know where you guys are heading. If you don't want people to sign up, just cross out at the beginning, are you trying to gather personal data???!!!!!",0.0,0.101,0.899,-0.6359,2,Detractor,"['sign', 'reason', 'click', 'link', 'hello', 'guy', 'want', 'sign', 'cross', 'gather']",2,Customer Services
216,Scan QR feature failed big time! Parsed 16.2 as 16.02! Amatuer mistake. Did the developer of this feature attend more than a day of class in CS?!,0.0,0.208,0.792,-0.7633,1,Detractor,"['feature', 'time', 'amatuer', 'mistake', 'developer', 'feature', 'attend', 'class']",2,Customer Services
217,"Everytime successfully signec up, after log in numerours time, it told me ""we have lost you in space"". Poor online banking",0.12,0.203,0.677,-0.296,3,Detractor,"['everytime', 'signec', 'time', 'told', 'space', 'online', 'banking']",3,Services & Products
218,"Hi, is something wrong with the app? Am error message says ""Something went wrong"" when I tried to log in with the Passcode I set yesterday.",0.0,0.279,0.721,-0.836,0,Detractor,"['something', 'error', 'message', 'something', 'passcode', 'yesterday']",9,Customer trust
219,App is snappy. Interface is simple and straightforward. Most importantly interest is attractive. Keep it up! By the way please add 'Save payee' feature.,0.434,0.0,0.566,0.9269,10,Promoter,"['interface', 'simple', 'straightforward', 'interest', 'please', 'payee', 'feature']",9,Customer trust
220,Needs a feature to save payees,0.39,0.0,0.61,0.4939,8,Passive,"['need', 'feature', 'payee']",2,Customer Services
221,Apps easy to use and easy transfer,0.537,0.0,0.463,0.7003,9,Promoter,"['apps', 'transfer']",2,Customer Services
222,Seamless registration. All done in less than 15 mins. Signed up and funds loaded. I guess they improved the app compared to the issues faced by other users earlier on.,0.097,0.0,0.903,0.4767,8,Passive,"['seamless', 'registration', 'le', 'min', 'fund', 'guess', 'issue', 'user']",0,App Responsiveness
223,"Hopeless app. If you can't auto startup singpass app, how to complete the registration!!!!",0.0,0.243,0.757,-0.6331,2,Detractor,"['hopeless', 'auto', 'startup', 'singpass', 'registration']",7,Competition
224,"blank screen after they pull all my Singpass data. terrible digi bank, waste of time. taking my money to other banks. my phone is updated, latest OS, not jailbroken, all official and secure.",0.063,0.154,0.783,-0.5423,2,Detractor,"['blank', 'screen', 'pull', 'singpass', 'digi', 'bank', 'waste', 'time', 'money', 'bank', 'phone', 'jailbroken', 'official', 'secure']",8,Safety
225,Please put in option for adding Payee/beneficiary in the app. We should not be typing in bank account number everytime we make a transfer.,0.141,0.0,0.859,0.3818,7,Passive,"['please', 'option', 'payee', 'beneficiary', 'bank', 'account', 'number', 'everytime', 'transfer']",5,Credit card usage
226,I can't seem to register!!!!,0.0,0.0,1.0,0.0,5,Detractor,"['seem', 'register']",0,App Responsiveness
227,"App got a lot of issues, forever logging in singpass when want to get an account",0.08,0.0,0.92,0.0772,5,Detractor,"['issue', 'singpass', 'want', 'account']",7,Competition
228,"Update 2023/07/20: saw the news about more slot being open but it still gives the same ""library tampering"" warning and force closed, no idea why, maybe it's because of developer mode is enable or whatever, but I am an app developer and no other bank apps complain about anything.",0.0,0.21,0.79,-0.899,0,Detractor,"['update', 'news', 'slot', 'library', 'force', 'idea', 'developer', 'mode', 'developer', 'bank', 'apps', 'complain', 'anything']",5,Credit card usage
229,Can't even open the app after downloaded it....try redownload it a few time also same,0.0,0.0,1.0,0.0,5,Detractor,"['redownload', 'time']",2,Customer Services
230,I can't sign up at all!!!! It just go blank after I click up with singpass,0.0,0.0,1.0,0.0,5,Detractor,"['sign', 'blank', 'click', 'singpass']",2,Customer Services
231,Unable to sign up using singpass after multiple times.,0.0,0.0,1.0,0.0,5,Detractor,"['sign', 'singpass', 'multiple', 'time']",2,Customer Services
232,Waste time download. Keep repeat to login my Singpass,0.0,0.259,0.741,-0.4215,3,Detractor,"['waste', 'time', 'download', 'repeat', 'login', 'singpass']",2,Customer Services
233,"Doesn't work after login page, freezea",0.0,0.0,1.0,0.0,5,Detractor,"['work', 'login', 'page', 'freezea']",4,User Interface
234,"Tried to sign up using singpass. After approve and redirect to the app, it still keep asking me to sign up.. useless app",0.0,0.113,0.887,-0.4215,3,Detractor,"['sign', 'singpass', 'redirect', 'sign', 'useless']",2,Customer Services
235,Over lapping wording. Pull down refresh need to tweak more does not feel smooth it all. Opening of account does not work if you are connected to WiFi.,0.0,0.0,1.0,0.0,5,Detractor,"['pull', 'refresh', 'need', 'tweak', 'feel', 'smooth', 'opening', 'account', 'work', 'wifi']",8,Safety
236,Cant launch. Stalled at invisible layer. Then receive crashed notification.,0.15,0.0,0.85,0.1511,6,Detractor,"['cant', 'launch', 'layer', 'receive', 'notification']",6,Login & Account Setup
237,"Received email notifying savings account is available to sign up, but when i tried to sign up, i got rejected immediately. No reason was given when rejected, only show faq which does not answer my question. Even after reaching out to the support email, no specific reason was given. I was simply told not eligible. An alternative savings account I suggest would be OCBC 360, which also offer high interest rate with terms and conditions.",0.106,0.157,0.737,-0.6956,1,Detractor,"['email', 'account', 'sign', 'sign', 'reason', 'show', 'answer', 'question', 'support', 'email', 'reason', 'told', 'alternative', 'account', 'suggest', 'ocbc', 'offer', 'interest', 'rate', 'term', 'condition']",2,Customer Services
238,"Terrible experience. Took 4 attempts to finally set up account. Previous 3x received error msg ""couldn't approve your account at this time"". When the account was finally set up a few hours later, the app crashed. Have restarted the phone, uninstalled and reinstalled the app. I'm still stuck at the first page after logging in, which seemed to have a popped up msg/ad but not loading. Then the error msg of ""app is not responding"" appeared and prompted me to close the app.",0.0,0.102,0.898,-0.7876,1,Detractor,"['experience', 'attempt', 'account', 'error', 'account', 'time', 'account', 'hour', 'phone', 'stuck', 'page', 'popped', 'error']",4,User Interface
239,Easy to register and deposit. Clean UI interface.,0.483,0.0,0.517,0.6808,9,Promoter,"['register', 'deposit', 'clean', 'interface']",9,Customer trust
240,You app downloading alway show technical priblem why??,0.0,0.0,1.0,0.0,5,Detractor,"['show', 'priblem']","0,2",App Responsiveness & Customer Services
241,After setting up the account today. Login to GxS screen become unresponsive. Phone Samsung S22 ultra.,0.0,0.0,1.0,0.0,5,Detractor,"['account', 'today', 'login', 'screen', 'become', 'phone', 'samsung']","2,7",Customer Services & Competition
242,Crash upon login into a newly created account. Reinstall and still the same. I'm on Android 13 phone.,0.097,0.13,0.773,-0.1779,4,Detractor,"['crash', 'login', 'account', 'reinstall', 'android', 'phone']",9,Customer trust
243,Terrible implementation of Singpass. Sign up keeps redirecting to Singpass,0.0,0.256,0.744,-0.4767,2,Detractor,"['implementation', 'singpass', 'sign', 'singpass']",2,Customer Services
244,"What is the criteria to approve the loan? Each time my hubby and I tried to apply loan multiple time, it get rejected. I wonder how much do we need to earn every month to get the loan approved!! If you have some rules and criteria then state it out so people won't waste time applying.",0.096,0.053,0.851,0.3979,7,Passive,"['criterion', 'loan', 'time', 'hubby', 'loan', 'multiple', 'time', 'wonder', 'need', 'earn', 'month', 'loan', 'rule', 'criterion', 'state', 'waste', 'time']",0,App Responsiveness
245,Worst apps everything also no resolve well,0.0,0.669,0.331,-0.7963,1,Detractor,"['apps', 'everything', 'resolve']",2,Customer Services
246,Waste of time app!! Keep on crashing when want to register. ZERO stars !!!,0.075,0.23,0.695,-0.5673,2,Detractor,"['waste', 'time', 'want', 'register', 'zero', 'star']",2,Customer Services
247,How to cancel or delete all my personal detail submit on GXS app thru Singpass?,0.0,0.125,0.875,-0.25,4,Detractor,"['cancel', 'delete', 'detail', 'submit', 'thru', 'singpass']",9,Customer trust
248,"Sleek, simple to use.",0.0,0.0,1.0,0.0,5,Detractor,"['sleek', 'simple']",9,Customer trust
249,"After signed up and asked for my info,straight away got rejected!",0.0,0.264,0.736,-0.5562,2,Detractor,"['info', 'straight']",6,Login & Account Setup
250,Have been downloading this app for past few days. After download it kept showing me oops unexpected errors......,0.0,0.124,0.876,-0.34,3,Detractor,"['past', 'day', 'download', 'kept', 'error']",1,Money Growth (Interest Rates)
251,"Misleading advertisement for flexiloan promotion for July 2023, stated rate as low as 2.99% p.a. Issued a rate that was extraordinary and way beyond all major banks that would offered even at their highest peak rate. A real shock of disbelief, thinking was a sign-up bug but it ended to be their best rate offered. Would be really cautious on signing up any offers from GXS even though their app user interface, interaction, and wording do project confidence in honoring their offer.",0.152,0.075,0.774,0.9093,10,Promoter,"['advertisement', 'flexiloan', 'promotion', 'july', 'rate', 'rate', 'bank', 'peak', 'rate', 'shock', 'disbelief', 'sign', 'rate', 'signing', 'offer', 'user', 'interface', 'interaction', 'project', 'confidence', 'offer']",9,Customer trust
252,"Can't even load properly. Prompted to set 6 digit security code, then application disappear and had to redo again with the same problem. Is this a legitimate mobile app?",0.073,0.139,0.788,-0.296,3,Detractor,"['load', 'digit', 'security', 'code', 'application', 'disappear', 'redo', 'problem', 'legitimate', 'mobile']",5,Credit card usage
253,I have merely tried to apply for your flexi loan on this app. But when i tried to applied like 9 times straight i have been instantly being asked to reapply over and over again. Very bad for user experience and does not live up to expectations till today,0.099,0.091,0.81,-0.1505,4,Detractor,"['flexi', 'loan', 'time', 'straight', 'reapply', 'user', 'experience', 'expectation', 'till', 'today']",0,App Responsiveness
254,Not so good im not citizent or pr but ipen saving account also can not,0.0,0.115,0.885,-0.2051,4,Detractor,"['citizent', 'account']",4,User Interface
255,Cant even apply.. apps doesn't work,0.0,0.0,1.0,0.0,5,Detractor,"['cant', 'apps', 'work']",5,Credit card usage
256,"Download the app, and tried to apply. Got an error message, page cannot download and cannot login at all. Uninstall the app within 5 mins of trying. Don't bother. I got better choices elsewhere.",0.128,0.07,0.802,0.304,7,Passive,"['download', 'error', 'message', 'page', 'download', 'login', 'uninstall', 'min', 'bother', 'choice']",1,Money Growth (Interest Rates)
257,What is the purpose of your app? Why would I use your app over DBS uob and ocbc? I don't see why you are better in any way?,0.113,0.0,0.887,0.533,8,Passive,"['purpose', 'ocbc']",8,Safety
258,First time checking out on dis and didnt know grab came with this and enhanced features was super accessible indeed within mins i was able.to withdraw e.loan even though e security was quite super securable which i liked.thank u for making things affordable and reachable for difficult times for mummies👌🙏🥰🌹,0.305,0.032,0.663,0.9699,10,Promoter,"['time', 'didnt', 'grab', 'feature', 'super', 'min', 'withdraw', 'loan', 'security', 'super', 'thank', 'thing', 'time', 'mummy']",2,Customer Services
259,The app homepage have no setting or other function for me to update or assign..,0.0,0.136,0.864,-0.296,3,Detractor,"['homepage', 'function', 'update', 'assign']",5,Credit card usage
260,Easy to use. Hopefully can raise the deposit cap soon.,0.412,0.0,0.588,0.6808,9,Promoter,"['raise', 'deposit']",8,Safety
261,Easy and simple to use for transfer money. High interest rate.,0.396,0.0,0.604,0.7096,9,Promoter,"['simple', 'transfer', 'money', 'interest', 'rate']",1,Money Growth (Interest Rates)
262,"The deposit interest is very high, which is currently my most satisfactory",0.367,0.0,0.633,0.6997,9,Promoter,"['deposit', 'interest', 'satisfactory']",3,Services & Products
263,Invitation fr Singtel. Trying my luck first and it was a very fast approval on a Sunday. Love the fact that we can take any amount fr our credit limit.,0.336,0.0,0.664,0.9213,10,Promoter,"['invitation', 'singtel', 'luck', 'fast', 'approval', 'sunday', 'love', 'fact', 'amount', 'credit', 'limit']",9,Customer trust
264,Easy to use. Fast transfer.,0.42,0.0,0.58,0.4404,7,Passive,"['fast', 'transfer']",0,App Responsiveness
265,Good to have the UI updated. Only issue now is the 5k max deposit.,0.182,0.0,0.818,0.4404,7,Passive,"['issue', 'deposit']",9,Customer trust
266,After few day on decided whether to download the app I decided to went on But the said thing is once I'm try to log in the account 😭 but couldn't log on and it said to rest ask to go back to the front page.,0.0,0.081,0.919,-0.631,2,Detractor,"['download', 'thing', 'account', 'rest', 'front', 'page']",3,Services & Products
267,Gxs Flexiloan doesn't work even though I meet the eligible criteria..,0.0,0.0,1.0,0.0,5,Detractor,"['flexiloan', 'work', 'meet', 'criterion']",9,Customer trust
268,"Insecure app beware folks. I applied using my singpass and instead of reviewing my own details, I saw someone's details on my screen instead, race, name, DOB, employer name on next step etc. I was shocked! Took a screenshot Incase anyone wanna verify with me.",0.0,0.111,0.889,-0.6588,1,Detractor,"['insecure', 'beware', 'folk', 'singpass', 'detail', 'someone', 'detail', 'screen', 'race', 'name', 'employer', 'name', 'step', 'screenshot', 'incase', 'anyone', 'verify']",5,Credit card usage
269,"[Update 2023-05-01] issue of display overlay causing screen unresponsiveness has been resolved! [Update 2023-01-25] Thanks to user E L's review, i rem tt my phone has display overlay add-on n this seems to be causing the issue. I tried app on my phone's 2ndary display (dual screen phone) n am able to use app Original review - screen is unresponsive regardless whether launched from GXS app or from Grab app",0.116,0.0,0.884,0.7712,9,Promoter,"['update', 'issue', 'display', 'overlay', 'screen', 'unresponsiveness', 'update', 'user', 'review', 'phone', 'display', 'overlay', 'issue', 'phone', 'display', 'screen', 'phone', 'review', 'screen', 'grab']",7,Competition
270,Whats with the Loan Thingy ???,0.0,0.0,1.0,0.0,5,Detractor,"['loan', 'thingy']",0,App Responsiveness
271,Lousy. High interest rate. Not advertise as stated in the media. Scam.,0.156,0.375,0.469,-0.6369,1,Detractor,"['lousy', 'interest', 'rate', 'advertise', 'medium', 'scam']",1,Money Growth (Interest Rates)
272,Not able to sign up the loan portion using singpass. It keep showing logging in for the past 10 minutes,0.0,0.0,1.0,0.0,5,Detractor,"['sign', 'loan', 'portion', 'singpass', 'past', 'minute']",7,Competition
273,Overall is a good app? Just that why maximum cash is 5k? Make it 20k with higher interest rate,0.269,0.0,0.731,0.7399,9,Promoter,"['maximum', 'cash', 'interest', 'rate']",1,Money Growth (Interest Rates)
274,"Once login, it just hang there and when try to use it in grab app it just say that my phone unable to use this app",0.0,0.0,1.0,0.0,5,Detractor,"['login', 'hang', 'grab', 'phone']",9,Customer trust
275,Can't login now. Makes me feel like being SCAMMED,0.238,0.0,0.762,0.3612,7,Passive,"['login', 'feel']",6,Login & Account Setup
276,Can't even click log in on galaxy s23 ultra,0.0,0.0,1.0,0.0,5,Detractor,"['click', 'galaxy']",4,User Interface
277,"Disappointing app experience, awful faux friendly service. I was invited to join via Grab. After multiple painful attempts to sign up (and v lacklustre UI/UX), I was told that there's been an error, and finally received a vague email stating that I am ineligible, without offering any reason why. After multiple emails, customer service still failed to explain why I am not eligible, while signing off as my 'GXS buddy' everytime. I don't need a buddy from you. I just need you to do your job.",0.054,0.165,0.781,-0.8779,0,Detractor,"['experience', 'awful', 'faux', 'service', 'join', 'grab', 'multiple', 'painful', 'attempt', 'sign', 'lacklustre', 'told', 'error', 'vague', 'email', 'offering', 'reason', 'multiple', 'email', 'customer', 'service', 'explain', 'signing', 'buddy', 'everytime', 'need', 'buddy', 'need']",6,Login & Account Setup
278,"Over all good,but some interface cover on mobile phone.Thank.",0.0,0.0,1.0,0.0,5,Detractor,"['interface', 'cover', 'mobile', 'phone', 'thank']",8,Safety
279,"Doesn't work on my phone, cannot click and cannot scroll anything. Only works if I open it as a mini pop-up app. Had to create an account via someone else's phone. Please fix!",0.131,0.0,0.869,0.5707,8,Passive,"['work', 'phone', 'click', 'scroll', 'anything', 'work', 'mini', 'create', 'account', 'someone', 'phone', 'please']",5,Credit card usage
280,Smooth app with fast onboarding. Im unable to add fund to pocket with decimals due to numeric keypad.,0.0,0.0,1.0,0.0,5,Detractor,"['smooth', 'fast', 'fund', 'pocket', 'decimal', 'keypad']",9,Customer trust
281,Its a simple bank app to help you save and transfer your daily needs. Just dont split screen or use another app when using it.,0.204,0.0,0.796,0.7096,9,Promoter,"['simple', 'bank', 'help', 'transfer', 'need', 'dont', 'split', 'screen']",2,Customer Services
282,"forces you to use singpass to register, is slow when browsing the FAQs, and the login doesn't allow singpass-based password login, when the registration does??? maximum frustration",0.0,0.175,0.825,-0.6492,1,Detractor,"['force', 'singpass', 'register', 'browsing', 'faq', 'login', 'singpass', 'password', 'login', 'registration', 'maximum', 'frustration']",5,Credit card usage
283,Kudos to GXS for responding promptly to the error that I experienced accessing the pockets. The latest update resolved the problem. Thank you!,0.25,0.173,0.577,0.3382,7,Passive,"['kudos', 'error', 'pocket', 'update', 'problem', 'thank']",4,User Interface
284,App auto exit after I clicked pocket account icon to see the details of each pocket account. Happened on from yesterday. Issue resolved after app update on 8 Feb. Thank you for the swift response.,0.158,0.0,0.842,0.6124,8,Passive,"['auto', 'exit', 'pocket', 'account', 'icon', 'detail', 'pocket', 'account', 'yesterday', 'issue', 'update', 'thank', 'swift', 'response']",7,Competition
285,Cannot tap on Join The Revolution or anything,0.0,0.212,0.788,-0.2235,4,Detractor,"['join', 'revolution', 'anything']",1,Money Growth (Interest Rates)
286,The links after downloading the app are unclickable to even register. Looks more like a wireframe on a Marvel platform. Lol What a great UX that GXS promises in their marketing but unable to deliver. I wonder what happens if you cannot click in future to transfer your money? I have serious doubts about how legit they are about Fintech with such a haphazard launch.,0.139,0.059,0.802,0.5854,8,Passive,"['link', 'register', 'look', 'wireframe', 'marvel', 'platform', 'promise', 'marketing', 'deliver', 'wonder', 'click', 'future', 'transfer', 'money', 'doubt', 'legit', 'fintech', 'haphazard', 'launch']",1,Money Growth (Interest Rates)
287,"Like this app over Trust and others. Concept similar to Timo bank in VN which I used before when I was living there. 5k account limit is shocking to me since these days where got people only save 5k. Hope for an update on this asap as well as debit card. Otherwise, interface is clean, easy to use, easy to sign up, good interest rate. For now, gxs looks promising to be my permanent savings bank. Others will just serve as my Spent account or salary credit account.",0.303,0.024,0.673,0.9818,10,Promoter,"['trust', 'concept', 'timo', 'bank', 'living', 'account', 'limit', 'day', 'hope', 'update', 'asap', 'debit', 'card', 'interface', 'clean', 'sign', 'interest', 'rate', 'look', 'promising', 'permanent', 'bank', 'serve', 'spent', 'account', 'salary', 'credit', 'account']",8,Safety
288,"Easy to set up and smooth sign in + attractive interest rate, it would be great if the saving caps could be higher than $5000 :)",0.431,0.0,0.569,0.9423,10,Promoter,"['smooth', 'sign', 'interest', 'rate', 'cap']",1,Money Growth (Interest Rates)
289,"One of the worst app I ever installed. Such a proclaimed digital bank yet can't even get the app to work properly. Since day one till now after sign up, the app never works, keep stating slip-space. If you can't get the app work properly, then don't launch it. How to trust and put our money in such an app if it doesn't even work properly. Trust app is so much better.",0.119,0.05,0.831,0.6887,9,Promoter,"['digital', 'bank', 'work', 'till', 'sign', 'work', 'slip', 'space', 'work', 'launch', 'trust', 'money', 'work', 'trust']",8,Safety
290,"The app works great, simple yet effective enough to encourage savings via ""pockets"" so that users do not unknowingly overspent using the main account and that explain the lower interest as compared to funds kept inside the ""pockets"". Although its good to start small, i do hope the bank can increase the saving caps to encourage even more savings.Security wise while i think is on par with industry standard but there are still room to enhance it further as scammers are getting smarter everyday.",0.233,0.016,0.751,0.952,10,Promoter,"['work', 'simple', 'encourage', 'pocket', 'user', 'overspent', 'account', 'explain', 'interest', 'fund', 'kept', 'pocket', 'start', 'hope', 'bank', 'increase', 'cap', 'encourage', 'security', 'wise', 'think', 'industry', 'standard', 'room', 'enhance', 'scammer', 'smarter', 'everyday']",6,Login & Account Setup
291,"The overall design of the app is great, but the CNY banner looks so out of place in the latest version",0.113,0.0,0.887,0.3716,7,Passive,"['design', 'banner', 'look', 'place', 'version']",1,Money Growth (Interest Rates)
292,"The screen cannot respond entirely.. After going through the screen login, the app completely doesn't respond touch. Very buggy.",0.0,0.0,1.0,0.0,5,Detractor,"['screen', 'respond', 'screen', 'login', 'respond', 'touch', 'buggy']",6,Login & Account Setup
293,"Looking at past review and after installing the app, I must say the effort to launch progressively paid off instead of rushing into it. Was kind of concern if this is going to take off but I guess the objective is to ensure a safe bankng experience rather than rushing to grab the market. No observable bug and smooth sign in process.",0.105,0.041,0.854,0.6652,9,Promoter,"['past', 'review', 'effort', 'launch', 'paid', 'kind', 'concern', 'guess', 'objective', 'bankng', 'experience', 'grab', 'market', 'smooth', 'sign', 'process']",4,User Interface
294,"Screen loaded but when no response when I press ""I have an account""",0.0,0.189,0.811,-0.4215,3,Detractor,"['screen', 'response', 'press', 'account']",4,User Interface
295,Nice app! Love the Saving pockets.,0.646,0.0,0.354,0.807,9,Promoter,"['love', 'pocket']",6,Login & Account Setup
296,"Great rates, easy to use, get Grab points just by linking the account",0.389,0.0,0.611,0.7906,9,Promoter,"['rate', 'grab', 'point', 'account']",1,Money Growth (Interest Rates)
297,"If you not ready, dont waste everbody's time and effort to install your app! Before launch your app rating is 2.5, you guys are really clueless! (Dec.20) - they opened my Saving Account with cap of $5K, are you kidding me? Running a bank or school project?",0.027,0.15,0.823,-0.753,1,Detractor,"['dont', 'waste', 'everbody', 'time', 'effort', 'install', 'launch', 'rating', 'guy', 'clueless', 'account', 'bank', 'school', 'project']",2,Customer Services
298,Great app! Kudos to the GXS team in developing such an amazing app. Excited to see what more this product can do!,0.441,0.0,0.559,0.9347,10,Promoter,"['kudos', 'team', 'product']",5,Credit card usage
299,It's seemless banking experience,0.0,0.0,1.0,0.0,5,Detractor,"['seemless', 'banking', 'experience']",4,User Interface
300,"Beautiful graphics and theme, user-friendly",0.494,0.0,0.506,0.5994,8,Passive,"['beautiful', 'theme', 'user']",0,App Responsiveness
301,best app experience looking forward for more breakthrough features in digi banking.,0.276,0.0,0.724,0.6369,9,Promoter,"['experience', 'breakthrough', 'feature', 'digi', 'banking']",0,App Responsiveness
302,The bank is not ready at all. I'm your ecosystem user. This is how you treat you ecosystem customer.,0.124,0.097,0.779,0.1506,6,Detractor,"['bank', 'ecosystem', 'user', 'treat', 'ecosystem', 'customer']",6,Login & Account Setup
303,Loving the color scheme!,0.583,0.0,0.417,0.636,8,Passive,"['color', 'scheme']",8,Safety
304,"The app is very user friendly and easy to set up. I personally like the way they take information security seriously by making sure our phone is secure (via pin authentication). With all thats happening around, makes me so much more reassured that they take security seriously!",0.352,0.055,0.594,0.9554,10,Promoter,"['user', 'information', 'security', 'sure', 'phone', 'secure', 'authentication', 'security']",0,App Responsiveness
305,Apps is fast and UI is cool,0.277,0.0,0.723,0.3182,7,Passive,"['apps', 'fast', 'cool']",0,App Responsiveness
306,Awesome experience so far. UI is flawless. Innovative ideas of various pockets and ROI caught my interest.,0.506,0.0,0.494,0.9231,10,Promoter,"['awesome', 'experience', 'flawless', 'idea', 'pocket', 'caught', 'interest']",7,Competition
307,Intuitive and User-Friendly Interface. No doubt there are further improvements to be made. Looking forward to what the digital banking scene has to offer! Suggestion to have an interface/section for users to offer feedback & suggestions for potential pain points/improvements.,0.104,0.073,0.822,0.1032,6,Detractor,"['user', 'interface', 'doubt', 'improvement', 'digital', 'banking', 'scene', 'offer', 'suggestion', 'interface', 'section', 'user', 'offer', 'feedback', 'suggestion', 'pain', 'point', 'improvement']",9,Customer trust
308,"If your bank is not ready for the public, you shouldn't even shout out you are ready. Unlike Trust, you download the app and they are really to accept application sign up. Super disappointed and how to trust my fund with your organisation?",0.278,0.091,0.631,0.8926,10,Promoter,"['bank', 'public', 'shout', 'trust', 'download', 'accept', 'application', 'sign', 'super', 'trust', 'fund', 'organisation']",2,Customer Services
309,Totally absurd and redundant feature that FORCES me to setup a PASSWORD FOR MY PHONE!!! The same kind autocracy and authoritarianism they force down the throat of their delivery riders. I've got at least 3 other banking apps by major banks. NONE.. I repeat .. NONE forces me to modify my phone settings to accommodate them. I'm steering away from this app.,0.066,0.0,0.934,0.6458,9,Promoter,"['absurd', 'redundant', 'feature', 'force', 'setup', 'password', 'phone', 'kind', 'autocracy', 'authoritarianism', 'force', 'throat', 'delivery', 'rider', 'banking', 'apps', 'bank', 'none', 'repeat', 'none', 'force', 'modify', 'phone', 'accommodate']",3,Services & Products
310,Hi please take note your app shouldn't be detecting whether if my phone has a pin number or not. This is a red flag on your digital banking system. No other bank is doing this including Trust Bank who is your competitor and they are doing better than you. Btw do not insult Singtel share holders like me.,0.217,0.059,0.724,0.8724,10,Promoter,"['please', 'note', 'phone', 'number', 'flag', 'digital', 'banking', 'system', 'bank', 'trust', 'bank', 'competitor', 'insult', 'singtel', 'share', 'holder']",4,User Interface
311,They shouldn't launch the app if it is not ready. Super misleading news published on Aug 31.,0.105,0.244,0.651,-0.4585,2,Detractor,"['launch', 'super', 'news']",2,Customer Services
312,digital bank app does not work when it already goes live.....are u still doing UAT?,0.0,0.0,1.0,0.0,5,Detractor,"['digital', 'bank', 'work']",8,Safety
313,Not ready to roll out completely. Aint even allowed to create an account without an invitation,0.115,0.116,0.769,-0.0026,5,Detractor,"['roll', 'aint', 'create', 'account', 'invitation']",4,User Interface
314,"Can not download yet, just always show pending......",0.0,0.0,1.0,0.0,5,Detractor,"['download', 'show']",2,Customer Services
315,Looks cool and sleek! Can I get an invite if I give a five star review? 🤪,0.208,0.0,0.792,0.4926,8,Passive,"['look', 'cool', 'sleek', 'invite', 'star', 'review']",8,Safety
316,"It's doesn't work, they're just trying to collect phone numbers. If they're not ready for people to download and use it, it shouldn't be on the play store.",0.079,0.069,0.852,0.0747,5,Detractor,"['work', 'collect', 'phone', 'number', 'download', 'play', 'store']","3,4",Services & Products & User Interface
