Topic,,key,review
Login & Account Setup,0,Difficulty logging in,"Unable to login or use the forgot password function. System only replied with ""something wrong please try again later"" Now I was told I must wait for the next version of app to be rolled out progressively before I can login. Hopefully won't take too long"
Login & Account Setup,1,Difficulty logging in,"Wasn't able to log in since 7 Sept. Called the CSO hotline on 9 Sept and was told to try resending the email OTP. Checked the email junk box and retried multiple times but didn't receive any emails. Was told that they had to check on the back end. When asked when I could receive a response, they mentioned 2 working days?? But this means I wouldn't be able to carry out any transactions for 5 whole days. Imagine if I had a critical transaction to carry out! I would have no access to my funds!!!!"
Login & Account Setup,2,Difficulty logging in,Can't login now. Makes me feel like being SCAMMED
Login & Account Setup,3,Difficulty logging in,The bank is not ready at all. I'm your ecosystem user. This is how you treat you ecosystem customer.
Login & Account Setup,4,Unable to set up account,Cannot set up my account in redmi 8T. Reach the email 2FA before I key in the numbers App closed
Login & Account Setup,5,Unable to set up account,"After signed up and asked for my info,straight away got rejected!"
Login & Account Setup,6,Poor customer support,Buggy app and bad customer support
Login & Account Setup,7,Poor customer support,"Disappointing app experience, awful faux friendly service. I was invited to join via Grab. After multiple painful attempts to sign up (and v lacklustre UI/UX), I was told that there's been an error, and finally received a vague email stating that I am ineligible, without offering any reason why. After multiple emails, customer service still failed to explain why I am not eligible, while signing off as my 'GXS buddy' everytime. I don't need a buddy from you. I just need you to do your job."
Login & Account Setup,8,Buggy app,Buggy app and bad customer support
Login & Account Setup,9,Buggy app,Cant launch. Stalled at invisible layer. Then receive crashed notification.
Login & Account Setup,10,Buggy app,"The screen cannot respond entirely.. After going through the screen login, the app completely doesn't respond touch. Very buggy."
Login & Account Setup,11,Issues with forgot password function,"Unable to login or use the forgot password function. System only replied with ""something wrong please try again later"" Now I was told I must wait for the next version of app to be rolled out progressively before I can login. Hopefully won't take too long"
Login & Account Setup,12,Frustration with error messages,DO NOT USE THIS APP!!!! So frustrating on this app. 3 times I tried to move a small portion of money out of my pocket. 3 times the pocket becomes $0 straight away and I canâ€™t move/transfer my money out!!!!!!!!!!!!!
Login & Account Setup,13,Frustration with error messages,"App keeps giving me â€œsomething went wrongâ€ and â€œitâ€™s not you, itâ€™s usâ€ notification whenever I attempt to log-in. Totally unusually at this time of writing."
Login & Account Setup,14,Frustration with error messages,Can GXS pls explain why the app keeps saying there is unexpected error and I cannot even open the app????
Login & Account Setup,15,Singpass registration issues,For 1st time registration signup by singpass and all info's needed but still my application is denied.
Login & Account Setup,16,Inability to use the app on certain devices,Cannot set up my account in redmi 8T. Reach the email 2FA before I key in the numbers App closed
Login & Account Setup,17,Inability to use the app on certain devices,"The screen cannot respond entirely.. After going through the screen login, the app completely doesn't respond touch. Very buggy."
Login & Account Setup,18,Delayed email responses,"Poor, get in touch with email late response after few weeks then replied. Not recommending ðŸ˜”"
Login & Account Setup,19,Lack of readiness for users,The bank is not ready at all. I'm your ecosystem user. This is how you treat you ecosystem customer.
Login & Account Setup,20,Others,"The app works great, simple yet effective enough to encourage savings via ""pockets"" so that users do not unknowingly overspent using the main account and that explain the lower interest as compared to funds kept inside the ""pockets"". Although its good to start small, i do hope the bank can increase the saving caps to encourage even more savings.Security wise while i think is on par with industry standard but there are still room to enhance it further as scammers are getting smarter everyday."
Login & Account Setup,21,Others,"Sending money into my GXS account is a breeze and instantaneous - regardless of the amounts. Iâ€™m able to immediately see that my funds are in GXS. 

Transferring money OUT is a huge issue. Since June Iâ€™ve had problems transferring amounts higher than $500 back to my other banking accounts, each time a red banner will pop up and said something went wrong please try again later. TODAY I canâ€™t transfer more than $1000 back to myself - even the $1000 had to be transferred in TWO transactions of $500 each. Customer service officers did their best to help each time but itâ€™s annoying that the advice provided (killing the app, re-logging in with SingPass) still donâ€™t work."
Login & Account Setup,22,Others,Nice app! Love the Saving pockets.
Login & Account Setup,23,Others,"Updated - Kindly ignore my previous rating, and I have amended my rating. My son did a Giro to link his Grab Account to GXS but neglected to inform us of the transaction."
Login & Account Setup,24,Others,"The app is super easy to use, and I love the saving pockets that allow me to easily set money aside for my goals!"
Login & Account Setup,25,Others,Hi any chance for foreign to apply? Im work at sg
Login & Account Setup,26,Others,Easy to use and nice UIUX. Saving pockets is an interesting and useful feature
Login & Account Setup,27,Others,"Been using this bank for a while now and didn't face any major problems. What I enjoyed the most is the saving pockets area where we could create different pockets for each saving we want to do and even add goals into it. The 2.68% per annum is added daily (0.01) as long as you have a minimum of 150 in your savings. If not, you'll have to wait till your it accumulates up to 0.01 to be added. There was also cashback when you make payment using the card which I didn't know till recently."
Login & Account Setup,28,Others,Love the savings pockets and daily interest!
Login & Account Setup,29,Others,the app is easy to navigate and the UI/UX is excellent. I love the saving pockets and the good interest rates! definitely worth the wait and has a lot of potential ðŸ‘ðŸ¼
Login & Account Setup,30,Others,"Extremely disappointed after downloading the app, waited and waited for it to open and still told to wait and wait and wait and wait and waitâ€¦â€¦â€¦â€¦â€¦..no ends!!!!!ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Ž"
Money Growth (Interest Rates),0,Low interest rate,"Notice that the drop in interest rate of 0.8% in saving accounts. GXS just come out with a reason to say many consumers want a increase in interest rate in main accounts as most of their funds are there to get the 1.2x points for dash and grab spending. Hence they decrease the interest rate to 2.68% in saving account and increase to 2.38% in main account .

The thing is GXS can increase the main account interest and maintain the interest rate in saving account. They will attract more consumer in this case. However, they use this opportunity to decease the interest rate in saving account instead and use the consumer as an excuse for the decrease.

I am very disappointed in GXS and have close my account in GXS. There are other banks offering a higher interest rate such as OCBC and UOB for saving accounts. No point sticking to GXS."
Money Growth (Interest Rates),1,Low interest rate,Itâ€™s all good! Until recently a dropped of 0.8% interest rate in such a short notice and changes
Money Growth (Interest Rates),2,Low interest rate,first bank to reduce interest rates for savings but interest rates for loans stay high
Money Growth (Interest Rates),3,Low interest rate,Worst rate you will ever find. Bank interest are much more forgiving. This app calculate and told me about 8.5% Per/annum. Total outrageous. That's close to ah long rate . Horrible horrible. Straight away uninstalled
Money Growth (Interest Rates),4,Low interest rate,"3.48% interest rate only last for 2weeks, the main selling point for this app is now dropped to 2.68% pa ðŸ˜‚"
Money Growth (Interest Rates),5,Low interest rate,Lousy. High interest rate. Not advertise as stated in the media. Scam.
Money Growth (Interest Rates),6,Poor customer service,"Closed my account without giving me any reason. Just started to put money in the account to earn interest, merely only earned $4 of interest in total."
Money Growth (Interest Rates),7,Buggy app,"Buggy app, bad interest rate"
Money Growth (Interest Rates),8,Buggy app,Hang when i want to log in with sing pass
Money Growth (Interest Rates),9,Buggy app,Cannot tap on Join The Revolution or anything
Money Growth (Interest Rates),10,Buggy app,The links after downloading the app are unclickable to even register. Looks more like a wireframe on a Marvel platform. Lol What a great UX that GXS promises in their marketing but unable to deliver. I wonder what happens if you cannot click in future to transfer your money? I have serious doubts about how legit they are about Fintech with such a haphazard launch.
Money Growth (Interest Rates),11,Lack of features,"Useless, lacks features and does not provide any improvement from traditional banks available in Singapore"
Money Growth (Interest Rates),12,Lack of features,Lack the basic function to save a payee
Money Growth (Interest Rates),13,Lack of features,"The overall design of the app is great, but the CNY banner looks so out of place in the latest version"
Money Growth (Interest Rates),14,High minimum balance requirement,Overall is a good app? Just that why maximum cash is 5k? Make it 20k with higher interest rate
Money Growth (Interest Rates),15,Difficulties in registering,"Registering, get the notice it's full and sign for interest. Received email notification, sign up to get prompt to sign for interest...again."
Money Growth (Interest Rates),16,Lack of support for SGQR,"No support for SGQR. When only way to spend is QR pay, atleast support SGQR, GrabPay as very few business have Paynow QR!"
Money Growth (Interest Rates),17,Confusing user interface,"Easy to set up and smooth sign in + attractive interest rate, it would be great if the saving caps could be higher than $5000 :)"
Money Growth (Interest Rates),18,Confusing user interface,"The overall design of the app is great, but the CNY banner looks so out of place in the latest version"
Money Growth (Interest Rates),19,Reduction in interest rates,"Just found out that they are reducing their interest rate to a pathetic 2.68%. don't like this bait and switch marketing strategy, lure us with high interest rate then suddenly drop the interest rates once they get enough sign ups. [Update] Whats the point of increasing the main wallet interest when no one puts money there? Its not like you're increasing it back to 3.48% right? The pt is the big reduction of the Pockets interest rates which is the key thing that people arent happy about."
Money Growth (Interest Rates),20,Reduction in interest rates,"3.48% interest rate only last for 2weeks, the main selling point for this app is now dropped to 2.68% pa ðŸ˜‚"
Money Growth (Interest Rates),21,Difficulties in opening the app,Unable to open the app and use my funds. Is this some kind of cash grab?
Money Growth (Interest Rates),22,High fees,Lousy. High interest rate. Not advertise as stated in the media. Scam.
Money Growth (Interest Rates),23,Misleading advertising,Lousy. High interest rate. Not advertise as stated in the media. Scam.
Money Growth (Interest Rates),24,Difficulties in logging in,Hang when i want to log in with sing pass
Money Growth (Interest Rates),25,Difficulties in logging in,"Easy to set up and smooth sign in + attractive interest rate, it would be great if the saving caps could be higher than $5000 :)"
Money Growth (Interest Rates),26,Limited availability of high interest rates,Easy to use with high interest rate
Money Growth (Interest Rates),27,Limited availability of high interest rates,You get the highest saving interest rate on the market
Money Growth (Interest Rates),28,Limited availability of high interest rates,Gxs provide good interest for their pocket savings.
Money Growth (Interest Rates),29,Limited availability of high interest rates,Good interest rate on pockets and great user experience.
Money Growth (Interest Rates),30,Limited availability of high interest rates,"Great rates, easy to use, get Grab points just by linking the account"
Money Growth (Interest Rates),31,Long onboarding process,Despite a lengthy onboarding but my account got approved promptly. I like that the app is snappy and easy to use. Waiting for credit card so that I can switch to GXS as my main account.
Money Growth (Interest Rates),32,Others,"Download the app, and tried to apply. Got an error message, page cannot download and cannot login at all. Uninstall the app within 5 mins of trying. Don't bother. I got better choices elsewhere."
Money Growth (Interest Rates),33,Others,Easy and simple to use for transfer money. High interest rate.
Money Growth (Interest Rates),34,Others,"Great interest rates and card spending rebates, and the app is also simple and easy to use."
Money Growth (Interest Rates),35,Others,"There are a number of things that are great about GXS. 
1. Ease of use
2. daily interest 
3. No hassle with minimum sum"
Money Growth (Interest Rates),36,Others,"Best bank to save up and best bank in receiving cash back! And also, so happy to be able to win a lucky draw from here! Hopefully things get much better in this year!"
Money Growth (Interest Rates),37,Others,Great bank..Good interest rate
Money Growth (Interest Rates),38,Others,Already 1 year but basic functions like adding payee is not in the app. Itâ€™s so troublesome to transfer funds to different bank accounts! With your latest move to reduce interest to 2.68% has made me feels like maribank is better even with slightly lower interest rate because they knows what basic functions to include in the app
Money Growth (Interest Rates),39,Others,Simple to use. Took a short while to know how to process. Hope that they can maintain the great interest. Good job GXS.
Money Growth (Interest Rates),40,Others,"Wish more people can download and use, and more rewards can be given."
Money Growth (Interest Rates),41,Others,"Great app that can park your savings using pockets, but hopefully the interest rate of the savings pockets will increase due to the current economic conditions"
Money Growth (Interest Rates),42,Others,Everything is perfect. Ease of use. Fast transfer for quick cash. Repayment is easy and low interest. This app is a life saver literally :)
Money Growth (Interest Rates),43,Others,Did an intern write that script? Nice.
Money Growth (Interest Rates),44,Others,Have been downloading this app for past few days. After download it kept showing me oops unexpected errors......
Safety,0,Seamless integration not available on iPad,"21 Jul 23:
The integration on iPad is off. The first time login requires SingPass as a safety feature but it doesnâ€™t generate a QR Code. Devs should consider a workaround. 

Pending dev feedback before rating change."
Safety,1,Difficulty opening app,"Unable to open app. From other reviews, seems I am not the only one. How to trust this bank?"
Safety,2,Difficulty opening app,digital bank app does not work when it already goes live.....are u still doing UAT?
Safety,3,Unclear purpose of app,What is the purpose of your app? Why would I use your app over DBS uob and ocbc? I don't see why you are better in any way?
Safety,4,Issues with Singpass details,App is not clear and Singpass details are not accurate for them. It didn't allow me to open an account....
Safety,5,Issues with Singpass details,"blank screen after they pull all my Singpass data. terrible digi bank, waste of time. taking my money to other banks. my phone is updated, latest OS, not jailbroken, all official and secure."
Safety,6,Overlapping wording,Over lapping wording. Pull down refresh need to tweak more does not feel smooth it all. Opening of account does not work if you are connected to WiFi.
Safety,7,Poor interface design on mobile,"Over all good,but some interface cover on mobile phone.Thank."
Safety,8,Difficulty raising deposit cap,Easy to use. Hopefully can raise the deposit cap soon.
Safety,9,Time wasting verification process,"Really really damm time wasting, if not ready for sign up don't launch. Close down and don't let people wait for you, uninstalling now. Trust Bank is much better, CRAB!"
Safety,10,Lack of availability on Google Play Store,Love GxS bank. Would it be available on Google Pay as well? ðŸ˜‰
Safety,11,Inability to delete fake accounts,Keep creating account to write fake 5 star reviews when your app is so buggy and processing time is so slow. Worst banking app ever!
Safety,12,Confusing account creation process,Gave an application to open account but the bank decided to cancel opening new accounts and the â€œbankâ€ didnt even bother to inform clients! May be its a gods sign to save my money.
Safety,13,Difficulty reducing transaction amounts,Show allow to increase amount not reduce and stay that way. For a first timer I didnâ€™t know that once I reduce amt I cannot get back the original amount that is given to me.
Safety,14,No option to increase transaction amounts,Show allow to increase amount not reduce and stay that way. For a first timer I didnâ€™t know that once I reduce amt I cannot get back the original amount that is given to me.
Safety,15,Poor customer service compared to banks,Such a great service compared to Bank
Safety,16,Issues with user interface,Very easy to navigate and super fluid UI. Lovely bank and recommended everyone to join with ease of mind.
Safety,17,Issues with user interface,"Gxs is simple and easy to use, with a saving account/pocket that has no TnC. But not being able to add payees for FAST transfer is quite a setback and detrimental considering it as a basic common banking service that most people do. As a digital bank, isn't it pertinent to include basic online banking service like adding of payee?"
Safety,18,Difficulty paying before due date,"Ease of use.
Pay anytime before due is possible. 
Emergency moolahs are here without breaking your bank!"
Safety,19,Blank screen issue,"blank screen after they pull all my Singpass data. terrible digi bank, waste of time. taking my money to other banks. my phone is updated, latest OS, not jailbroken, all official and secure."
Safety,20,Color scheme appreciated,Loving the color scheme!
Safety,21,Invite requested,Looks cool and sleek! Can I get an invite if I give a five star review? ðŸ¤ª
Safety,22,Difficulty with pull down refresh,Over lapping wording. Pull down refresh need to tweak more does not feel smooth it all. Opening of account does not work if you are connected to WiFi.
Safety,23,Others,"One of the worst app I ever installed. Such a proclaimed digital bank yet can't even get the app to work properly. Since day one till now after sign up, the app never works, keep stating slip-space. If you can't get the app work properly, then don't launch it. How to trust and put our money in such an app if it doesn't even work properly. Trust app is so much better."
Safety,24,Others,"GXS offers seamless, fast and super effective digital services. 
Never ever I had such experience with other banks. GXS definitely is the bank of future! 
You must try it to believe!"
Safety,25,Others,"THIS LITERALLY SAVED ME, i recommendation is high as the giant touches the sky"
Safety,26,Others,"You are welcome! I had hoped to keep more money long term but after only 1 month with GXS, your interest rate dropped greatly! Please have ""Add Payee"" to reduce errors - no Copy & Paste so we need to memorise long account numbers! Jul2023 Review - Seamless transactions. Great fun bank to bank with. I like the pockets idea where I am able to see where my goals are heading! The interest is the icing on the cake! Great UI and UX! Easiest digital bank to use! Thank you very much, Dev & Team!"
Safety,27,Others,"Like this app over Trust and others. Concept similar to Timo bank in VN which I used before when I was living there. 5k account limit is shocking to me since these days where got people only save 5k. Hope for an update on this asap as well as debit card. Otherwise, interface is clean, easy to use, easy to sign up, good interest rate. For now, gxs looks promising to be my permanent savings bank. Others will just serve as my Spent account or salary credit account."
Services & Products,0,Long waiting list,"1) long waiting list 2) everytime i log into waiting list, it's as if I'm not in the waiting list as they ask me to sign up to be in the waiting list ðŸ™„ alr 4 time alr 3) of course I'm still not in the GXS list Had sent light for the long wait. Meanwhile while it isn't approved I'll delete since I won't be able to use it. ðŸ˜‘ No spaces."
Services & Products,1,Difficulty in signing up,When I sign up canâ€™t sign up always say oops something went wrong please try again
Services & Products,2,Difficulty in signing up,Deleted the app. Sick of it serving no other purpose currently than being a lead generator.
Services & Products,3,Difficulty in signing up,"1) long waiting list 2) everytime i log into waiting list, it's as if I'm not in the waiting list as they ask me to sign up to be in the waiting list ðŸ™„ alr 4 time alr 3) of course I'm still not in the GXS list Had sent light for the long wait. Meanwhile while it isn't approved I'll delete since I won't be able to use it. ðŸ˜‘ No spaces."
Services & Products,4,Difficulty in signing up,Cui full. Cannot sign up. Only on waiting list. What a waste.
Services & Products,5,Difficulty in signing up,"Everytime successfully signec up, after log in numerours time, it told me ""we have lost you in space"". Poor online banking"
Services & Products,6,High interest rates,"Reduced interest from 3.48 to 2.68% in less than a month, kenna baited to start an account here. Have removed all my funds and closed my account."
Services & Products,7,High interest rates,No debit card. Max interest reduced to only 2.65 now within one month of start.
Services & Products,8,High interest rates,"Only Singaporean can apply for loan, good if everyone can apply."
Services & Products,9,High interest rates,"The deposit interest is very high, which is currently my most satisfactory"
Services & Products,10,Technical glitches,When to sign up for the account in last year august. 5 months has pass still waiting. Please help to solve the issue.
Services & Products,11,Technical glitches,What a nonsense app is this??download but say got malware in my hp?and ask me to fix my app?wth?
Services & Products,12,Technical glitches,"Seriously makes you wonder how grab and singtel took so long to come up with an app and there is no simple things like adding a payee. The debit card was only recently released when trust came up with a proper product more than a year ago with a proper rewards programme. Just like its owners, GXS is a failure."
Services & Products,13,Technical glitches,"Why do the app ask me to rate on Play Store if my rating on the app is 5, but there was no such questions when I put a 1 rating on the app? It encourages unfair ratings on the Play Store."
Services & Products,14,Technical glitches,"Reminder, please up to date your app for users to activate Gxs debit physical card. Currently facing a small issue with logging in my GXS app & only through the app. + 5 secret digit number to input. All the best to new peeps have same trouble as me.... Cheers."
Services & Products,15,Technical glitches,Been waiting since july to open an account.. Remembered that i sign up for early access first time round and was told would be informed once new slots are available for sign up.. As weeks goes by i see that other people were invited to open an account but not me.. Now 4 mths later am trying again and signed up again for early access..
Services & Products,16,Limited eligibility for loans,"Only Singaporean can apply for loan, good if everyone can apply."
Services & Products,17,Lack of transparency,Easy to apply good full amount of loan given compare to outside or lending bee ... or they never cut your loan amouny . interest can be save if payment early. multiple loan also can.. only it could be better if can increase loan amount after loan given .. or can be resgistet again once deleted.
Services & Products,18,Redundant features,Totally absurd and redundant feature that FORCES me to setup a PASSWORD FOR MY PHONE!!! The same kind autocracy and authoritarianism they force down the throat of their delivery riders. I've got at least 3 other banking apps by major banks. NONE.. I repeat .. NONE forces me to modify my phone settings to accommodate them. I'm steering away from this app.
Services & Products,19,Payment issues,"I was trying to make payment using Paynow Qr code using scan and pay. Merchant create a dynamic QR code of payment $15.7 but the GXS app scan and pay read in as $15.07
Pls advice to correct the mistake as it make me and merchant very inconvenience."
Services & Products,20,Absence of debit card,No debit card. Max interest reduced to only 2.65 now within one month of start.
Services & Products,21,Misleading app behavior,After few day on decided whether to download the app I decided to went on But the said thing is once I'm try to log in the account ðŸ˜­ but couldn't log on and it said to rest ask to go back to the front page.
Services & Products,22,Others,Reduce interest rate in less than a month. Waste time open account here.
Services & Products,23,Others,Have not even tried already failed on me. Just to download has the error and ask to download again .. ðŸ˜”
User Interface,0,Poor login functionality,Having problems logging onto the app. It says my phone cannot be used for GXS as it has been modified in someway. I just logged in this morning with the same phone with no problems. Please advice.
User Interface,1,Poor login functionality,App got problem can't login
User Interface,2,Poor login functionality,Occasionally getting unable to login error.
User Interface,3,Poor login functionality,"Screen loaded but when no response when I press ""I have an account"""
User Interface,4,Fingerprint login not working,Fingerprint login no longer work since 2 months back.. all other bank apps doesn't have such issues.
User Interface,5,Unclear error messages,"Doesn't work after login page, freezea"
User Interface,6,Terrible user experience,"Terrible experience. Took 4 attempts to finally set up account. Previous 3x received error msg ""couldn't approve your account at this time"". When the account was finally set up a few hours later, the app crashed. Have restarted the phone, uninstalled and reinstalled the app. I'm still stuck at the first page after logging in, which seemed to have a popped up msg/ad but not loading. Then the error msg of ""app is not responding"" appeared and prompted me to close the app."
User Interface,7,Terrible user experience,Not ready to roll out completely. Aint even allowed to create an account without an invitation
User Interface,8,Lack of transparency,Not worth the effort to sign up. Not transparent in application selection process.
User Interface,9,Issues with interest rates,"Noticed the news writing they offer 3.48% interest rate. After downloading the apps and trying to sign up, end up asked me to fill up my particular to  receive latest buzz updates.! 

If the bank isnâ€™t planing to offer, please stop advertising that. Thanks!"
User Interface,10,Issues with interest rates,I hope the GXS Bank can given the interest 10% p.a as deposit $1 into the saving account as a free gift .
User Interface,11,Difficulty in signing up,Not so good im not citizent or pr but ipen saving account also can not
User Interface,12,Compatibility issues,Can't even click log in on galaxy s23 ultra
User Interface,13,Compatibility issues,Hi please take note your app shouldn't be detecting whether if my phone has a pin number or not. This is a red flag on your digital banking system. No other bank is doing this including Trust Bank who is your competitor and they are doing better than you. Btw do not insult Singtel share holders like me.
User Interface,14,Occasional errors,"Love the function of having multiple pockets as it helps me to track each target accordingly. Thank you for the genius allocation! Would have given 4.5 if there was, with the 0.5 hoping for unlimited numbers of pockets. :"")"
User Interface,15,Occasional errors,It's seemless banking experience
User Interface,16,Delayed response,Kudos to GXS for responding promptly to the error that I experienced accessing the pockets. The latest update resolved the problem. Thank you!
User Interface,17,Confusing user interface,"Looking at past review and after installing the app, I must say the effort to launch progressively paid off instead of rushing into it. Was kind of concern if this is going to take off but I guess the objective is to ensure a safe bankng experience rather than rushing to grab the market. No observable bug and smooth sign in process."
User Interface,18,Others,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we donâ€™t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!
User Interface,19,Others,"A bank like no other, no bank have such amazing feature to separate your money into different â€œpocketsâ€ to keep track of your goals. Moreover the interest rate they give is the highest for the no effort! Interest are being deposit daily and itâ€™s amazing to see ðŸ’µ coming in to the bank daily! 

The user interfaces is so intuitive that every button can be found with your eyes close, that makes money transfer so much smoother. Also the colours is so slick that I want to turn the app on everyday just to look at it and see the daily interest

Lots of potential for the product and I canâ€™t wait to see more of it."
User Interface,20,Others,"Well if u like to see growth everyday, this app gives u that. Set goals and see it grow towards it!"
User Interface,21,Others,"Why put an app on the store when you are not ready. All about the app now is collecting info. If you have heard yet, please use testflight for ur â€˜launchâ€™ aka beta testing ðŸ¤¦ðŸ»

Update: doesnâ€™t bode wellâ€¦ even response is so robotic n mundane. Might as well not respond and spend the time to build the app for a proper launch"
User Interface,22,Others,"I have to say that the UI/UX is one of the best one Iâ€™ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesnâ€™t differ much for any banks out there. Please make it available asap canâ€™t wait to see what you have to offer!"
User Interface,23,Others,"Good to see increased competition in the banking space (high interest is good, but inexplicably only given within a saving pocket), but GXS app lacks basic functionality, eg. ability to save payees (at the point of writing this review, these details need to be re-input each time - irritating and error prone). Suggest that rather than working on cool, but otherwise non-essential functions (like saving pockets), the company should focus on the basics first."
User Interface,24,Others,"Pls improve your good service for any person who are really need it,hope the app can improve soon"
User Interface,25,Others,Honestly is my first time depositing digital banking A lot worry . But at the end is a great experience. I believe a lot of us wanted is the return . And they offer very high interest. Will continue to deposit Thank you
User Interface,26,Others,"It doesnâ€™t make the company look reputable when they offer a high interest rate only to drop it immediately after gaining enough users. It feels like a bait, which it is. They should acquire deposits through more honest and transparent methods."
User Interface,27,Others,Unexpected error when trying to login. Kindly fix this issue ASAP.
User Interface,28,Others,"Fair and transparent loans.
Interest is not like the atypical bank that is out to profit and cripple the debtor."
User Interface,29,Others,Great plat form â€¦ easy to use and hassle free.
User Interface,30,Others,"Extremely disappointed with the GXS app. Despite consistent use on the same device for a long time, it suddenly stopped allowing money transfers with explanation device changed. This lack of clarity and abrupt disruption in service is unacceptable. Terrible user experience, deserves only 1 star."
User Interface,31,Others,reliable and quick response
User Interface,32,Others,"The UIUX of the app is definitely the best amongst the banks right now, looking forward to more products"
